tdate,AEX,AS51,CAC,DAX,FTSE,HSI,IBEX,MIB,NKY,OMX,SG,SMI,SPX,TSX
2011-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-10,0.005065972675875832,-0.005065972675875832,0.0,0.0,0.0,0.0,0.005065972675875832,0.005065972675875832,-0.005065972675875832,0.005065972675875832,-0.005065972675875832,-0.005065972675875832,0.0,0.005065972675875832
2011-05-11,0.005065972675875832,-0.005065972675875832,0.0,0.0,0.0,0.0,0.005065972675875832,0.005065972675875832,-0.005065972675875832,0.005065972675875832,-0.005065972675875832,-0.005065972675875832,0.0,0.005065972675875832
2011-05-12,0.005065972675875832,-0.005065972675875832,0.0,0.0,0.0,0.0,0.005065972675875832,0.005065972675875832,-0.005065972675875832,0.005065972675875832,-0.005065972675875832,-0.005065972675875832,0.0,0.005065972675875832
2011-05-13,0.005065972675875832,-0.005065972675875832,0.0,0.0,0.0,0.0,0.005065972675875832,0.005065972675875832,-0.005065972675875832,0.005065972675875832,-0.005065972675875832,-0.005065972675875832,0.0,0.005065972675875832
2011-05-16,0.005065972675875832,-0.005065972675875832,0.0,0.0,0.0,0.0,0.005065972675875832,0.005065972675875832,-0.005065972675875832,0.005065972675875832,-0.005065972675875832,-0.005065972675875832,0.0,0.005065972675875832
2011-05-17,0.0052620033521384125,-0.0052620033521384125,0.0,0.0,0.0,0.0,0.0052620033521384125,0.0052620033521384125,-0.0052620033521384125,0.0052620033521384125,-0.0052620033521384125,-0.0052620033521384125,0.0,0.0052620033521384125
2011-05-18,0.0052620033521384125,-0.0052620033521384125,0.0,0.0,0.0,0.0,0.0052620033521384125,0.0052620033521384125,-0.0052620033521384125,0.0052620033521384125,-0.0052620033521384125,-0.0052620033521384125,0.0,0.0052620033521384125
2011-05-19,0.0052620033521384125,-0.0052620033521384125,0.0,0.0,0.0,0.0,0.0052620033521384125,0.0052620033521384125,-0.0052620033521384125,0.0052620033521384125,-0.0052620033521384125,-0.0052620033521384125,0.0,0.0052620033521384125
2011-05-20,0.0052620033521384125,-0.0052620033521384125,0.0,0.0,0.0,0.0,0.0052620033521384125,0.0052620033521384125,-0.0052620033521384125,0.0052620033521384125,-0.0052620033521384125,-0.0052620033521384125,0.0,0.0052620033521384125
2011-05-23,0.0052620033521384125,-0.0052620033521384125,0.0,0.0,0.0,0.0,0.0052620033521384125,0.0052620033521384125,-0.0052620033521384125,0.0052620033521384125,-0.0052620033521384125,-0.0052620033521384125,0.0,0.0052620033521384125
2011-05-24,0.0053964512696191725,-0.0053964512696191725,0.0,0.0,0.0,0.0,0.0053964512696191725,0.0053964512696191725,-0.0053964512696191725,0.0053964512696191725,-0.0053964512696191725,-0.0053964512696191725,0.0,0.0053964512696191725
2011-05-25,0.0053964512696191725,-0.0053964512696191725,0.0,0.0,0.0,0.0,0.0053964512696191725,0.0053964512696191725,-0.0053964512696191725,0.0053964512696191725,-0.0053964512696191725,-0.0053964512696191725,0.0,0.0053964512696191725
2011-05-26,0.0053964512696191725,-0.0053964512696191725,0.0,0.0,0.0,0.0,0.0053964512696191725,0.0053964512696191725,-0.0053964512696191725,0.0053964512696191725,-0.0053964512696191725,-0.0053964512696191725,0.0,0.0053964512696191725
