tdate,CN,KR,TW,IN,MY,ID,BR,MX,RU,SA
1998-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-04,0.0,0.0007823225703610248,0.0,-0.0007823225703610248,0.0007823225703610248,0.0,-0.0007823225703610248,0.0,0.0007823225703610248,-0.0007823225703610248
1998-09-07,0.0,0.0007823225703610248,0.0,-0.0007823225703610248,0.0007823225703610248,0.0,-0.0007823225703610248,0.0,0.0007823225703610248,-0.0007823225703610248
1998-09-08,0.0,0.0008576467794920206,0.0,-0.0008576467794920206,0.0008576467794920206,0.0,-0.0008576467794920206,0.0,0.0008576467794920206,-0.0008576467794920206
1998-09-09,0.0,0.0008576467794920206,0.0,-0.0008576467794920206,0.0008576467794920206,0.0,-0.0008576467794920206,0.0,0.0008576467794920206,-0.0008576467794920206
1998-09-10,0.0,0.0008576467794920206,0.0,-0.0008576467794920206,0.0008576467794920206,0.0,-0.0008576467794920206,0.0,0.0008576467794920206,-0.0008576467794920206
1998-09-11,0.0,0.0008576467794920206,0.0,-0.0008576467794920206,0.0008576467794920206,0.0,-0.0008576467794920206,0.0,0.0008576467794920206,-0.0008576467794920206
1998-09-14,0.0,0.0008576467794920206,0.0,-0.0008576467794920206,0.0008576467794920206,0.0,-0.0008576467794920206,0.0,0.0008576467794920206,-0.0008576467794920206
1998-09-15,0.0,0.0008768953526912313,0.0,-0.0008768953526912313,0.0008768953526912313,0.0,-0.0008768953526912313,0.0,0.0008768953526912313,-0.0008768953526912313
1998-09-16,0.0,0.0008768953526912313,0.0,-0.0008768953526912313,0.0008768953526912313,0.0,-0.0008768953526912313,0.0,0.0008768953526912313,-0.0008768953526912313
1998-09-17,0.0,0.0008768953526912313,0.0,-0.0008768953526912313,0.0008768953526912313,0.0,-0.0008768953526912313,0.0,0.0008768953526912313,-0.0008768953526912313
1998-09-18,0.0,0.0008768953526912313,0.0,-0.0008768953526912313,0.0008768953526912313,0.0,-0.0008768953526912313,0.0,0.0008768953526912313,-0.0008768953526912313
1998-09-21,0.0,0.0008768953526912313,0.0,-0.0008768953526912313,0.0008768953526912313,0.0,-0.0008768953526912313,0.0,0.0008768953526912313,-0.0008768953526912313
1998-09-22,0.0,0.0011782859933175134,0.0,-0.0011782859933175134,0.0011782859933175134,0.0,-0.0011782859933175134,0.0,0.0011782859933175134,-0.0011782859933175134
1998-09-23,0.0,0.0011782859933175134,0.0,-0.0011782859933175134,0.0011782859933175134,0.0,-0.0011782859933175134,0.0,0.0011782859933175134,-0.0011782859933175134
1998-09-24,0.0,0.0011782859933175134,0.0,-0.0011782859933175134,0.0011782859933175134,0.0,-0.0011782859933175134,0.0,0.0011782859933175134,-0.0011782859933175134
1998-09-25,0.0,0.0011782859933175134,0.0,-0.0011782859933175134,0.0011782859933175134,0.0,-0.0011782859933175134,0.0,0.0011782859933175134,-0.0011782859933175134
1998-09-28,0.0,0.0011782859933175134,0.0,-0.0011782859933175134,0.0011782859933175134,0.0,-0.0011782859933175134,0.0,0.0011782859933175134,-0.0011782859933175134
1998-09-29,0.0,0.001726017816943374,0.0,-0.001726017816943374,0.001726017816943374,0.0,-0.001726017816943374,0.0,0.001726017816943374,-0.001726017816943374
1998-09-30,-0.0015155510711526267,0.0,0.0015155510711526267,0.0,0.0015155510711526267,0.0,0.0,-0.0015155510711526267,0.0015155510711526267,-0.0015155510711526267
1998-10-01,-0.0015155510711526267,0.0,0.0015155510711526267,0.0,0.0015155510711526267,0.0,0.0,-0.0015155510711526267,0.0015155510711526267,-0.0015155510711526267
1998-10-02,-0.0015155510711526267,0.0,0.0015155510711526267,0.0,0.0015155510711526267,0.0,0.0,-0.0015155510711526267,0.0015155510711526267,-0.0015155510711526267
1998-10-05,-0.0015155510711526267,0.0,0.0015155510711526267,0.0,0.0015155510711526267,0.0,0.0,-0.0015155510711526267,0.0015155510711526267,-0.0015155510711526267
1998-10-06,-0.01023193050878241,0.0,0.01023193050878241,0.0,0.01023193050878241,0.0,0.0,-0.01023193050878241,0.01023193050878241,-0.01023193050878241
1998-10-07,-0.01023193050878241,0.0,0.01023193050878241,0.0,0.01023193050878241,0.0,0.0,-0.01023193050878241,0.01023193050878241,-0.01023193050878241
1998-10-08,-0.01023193050878241,0.0,0.01023193050878241,0.0,0.01023193050878241,0.0,0.0,-0.01023193050878241,0.01023193050878241,-0.01023193050878241
1998-10-09,-0.01023193050878241,0.0,0.01023193050878241,0.0,0.01023193050878241,0.0,0.0,-0.01023193050878241,0.01023193050878241,-0.01023193050878241
1998-10-12,-0.01023193050878241,0.0,0.01023193050878241,0.0,0.01023193050878241,0.0,0.0,-0.01023193050878241,0.01023193050878241,-0.01023193050878241
1998-10-13,-0.01023193050878241,0.0,0.01023193050878241,0.0,0.01023193050878241,0.0,0.0,-0.01023193050878241,0.01023193050878241,-0.01023193050878241
1998-10-14,-0.01023193050878241,0.0,0.01023193050878241,0.0,0.01023193050878241,0.0,0.0,-0.01023193050878241,0.01023193050878241,-0.01023193050878241
1998-10-15,-0.01023193050878241,0.0,0.01023193050878241,0.0,0.01023193050878241,0.0,0.0,-0.01023193050878241,0.01023193050878241,-0.01023193050878241
1998-10-16,-0.01023193050878241,0.0,0.01023193050878241,0.0,0.01023193050878241,0.0,0.0,-0.01023193050878241,0.01023193050878241,-0.01023193050878241
1998-10-19,-0.01023193050878241,0.0,0.01023193050878241,0.0,0.01023193050878241,0.0,0.0,-0.01023193050878241,0.01023193050878241,-0.01023193050878241
