tdate,BOND,CANA,BUND,GILT
1994-05-06,0.0,0.0,0.0,0.0
1994-05-09,-0.17803425693129263,0.14113983602784913,-0.1674514530764644,0.10832714206466725
1994-05-10,-0.17803425693129263,0.14113983602784913,-0.1674514530764644,0.10832714206466725
1994-05-11,-0.17803425693129263,0.14113983602784913,-0.1674514530764644,0.10832714206466725
1994-05-12,-0.17803425693129263,0.14113983602784913,-0.1674514530764644,0.10832714206466725
1994-05-13,-0.17803425693129263,0.14113983602784913,-0.1674514530764644,0.10832714206466725
1994-05-16,-0.17803425693129263,0.14113983602784913,-0.1674514530764644,0.10832714206466725
1994-05-17,-0.18709028389753427,0.1483191631029322,-0.17596916703070659,0.11383739349954762
1994-05-18,-0.18709028389753427,0.1483191631029322,-0.17596916703070659,0.11383739349954762
1994-05-19,-0.18709028389753427,0.1483191631029322,-0.17596916703070659,0.11383739349954762
1994-05-20,-0.18709028389753427,0.1483191631029322,-0.17596916703070659,0.11383739349954762
1994-05-23,-0.18709028389753427,0.1483191631029322,-0.17596916703070659,0.11383739349954762
1994-05-24,-0.18709028389753427,0.1483191631029322,-0.17596916703070659,0.11383739349954762
1994-05-25,-0.18709028389753427,0.1483191631029322,-0.17596916703070659,0.11383739349954762
1994-05-26,-0.18709028389753427,0.1483191631029322,-0.17596916703070659,0.11383739349954762
1994-05-27,-0.18709028389753427,0.1483191631029322,-0.17596916703070659,0.11383739349954762
1994-05-30,-0.18709028389753427,0.1483191631029322,-0.17596916703070659,0.11383739349954762
1994-05-31,-0.08731736981527088,-0.072073363082988,0.08753933394742167,0.058864646206386914
1994-06-01,-0.08731736981527088,-0.072073363082988,0.08753933394742167,0.058864646206386914
1994-06-02,-0.08731736981527088,-0.072073363082988,0.08753933394742167,0.058864646206386914
1994-06-03,-0.08731736981527088,-0.072073363082988,0.08753933394742167,0.058864646206386914
1994-06-06,-0.08731736981527088,-0.072073363082988,0.08753933394742167,0.058864646206386914
1994-06-07,-0.09501440607939297,-0.07842663838778283,0.09525593637550532,0.06405357158840223
1994-06-08,-0.09501440607939297,-0.07842663838778283,0.09525593637550532,0.06405357158840223
1994-06-09,-0.09501440607939297,-0.07842663838778283,0.09525593637550532,0.06405357158840223
1994-06-10,-0.09501440607939297,-0.07842663838778283,0.09525593637550532,0.06405357158840223
1994-06-13,-0.09501440607939297,-0.07842663838778283,0.09525593637550532,0.06405357158840223
1994-06-14,-0.09501440607939297,-0.07842663838778283,0.09525593637550532,0.06405357158840223
1994-06-15,-0.09501440607939297,-0.07842663838778283,0.09525593637550532,0.06405357158840223
1994-06-16,-0.09501440607939297,-0.07842663838778283,0.09525593637550532,0.06405357158840223
1994-06-17,-0.09501440607939297,-0.07842663838778283,0.09525593637550532,0.06405357158840223
1994-06-20,-0.09501440607939297,-0.07842663838778283,0.09525593637550532,0.06405357158840223
1994-06-21,-0.09501440607939297,-0.07842663838778283,0.09525593637550532,0.06405357158840223
1994-06-22,-0.09501440607939297,-0.07842663838778283,0.09525593637550532,0.06405357158840223
1994-06-23,-0.09501440607939297,-0.07842663838778283,0.09525593637550532,0.06405357158840223
1994-06-24,-0.09501440607939297,-0.07842663838778283,0.09525593637550532,0.06405357158840223
1994-06-27,-0.09501440607939297,-0.07842663838778283,0.09525593637550532,0.06405357158840223
1994-06-28,-0.09501440607939297,-0.07842663838778283,0.09525593637550532,0.06405357158840223
1994-06-29,-0.09501440607939297,-0.07842663838778283,0.09525593637550532,0.06405357158840223
1994-06-30,-0.14744346929588956,0.1142863683742974,0.12807553085005574,-0.08752242886752393
1994-07-01,-0.14744346929588956,0.1142863683742974,0.12807553085005574,-0.08752242886752393
1994-07-04,-0.14744346929588956,0.1142863683742974,0.12807553085005574,-0.08752242886752393
1994-07-05,-0.14744346929588956,0.1142863683742974,0.12807553085005574,-0.08752242886752393
1994-07-06,-0.14744346929588956,0.1142863683742974,0.12807553085005574,-0.08752242886752393
1994-07-07,-0.14744346929588956,0.1142863683742974,0.12807553085005574,-0.08752242886752393
1994-07-08,-0.14744346929588956,0.1142863683742974,0.12807553085005574,-0.08752242886752393
1994-07-11,-0.14744346929588956,0.1142863683742974,0.12807553085005574,-0.08752242886752393
1994-07-12,-0.1576136577971542,0.12216948395101407,0.13690977964632248,-0.09355945176126058
1994-07-13,-0.1576136577971542,0.12216948395101407,0.13690977964632248,-0.09355945176126058
1994-07-14,-0.1576136577971542,0.12216948395101407,0.13690977964632248,-0.09355945176126058
1994-07-15,-0.1576136577971542,0.12216948395101407,0.13690977964632248,-0.09355945176126058
1994-07-18,-0.1576136577971542,0.12216948395101407,0.13690977964632248,-0.09355945176126058
1994-07-19,-0.1681484141901209,0.13033518335845226,0.14606070727878046,-0.09981288211964286
1994-07-20,-0.1681484141901209,0.13033518335845226,0.14606070727878046,-0.09981288211964286
1994-07-21,-0.1681484141901209,0.13033518335845226,0.14606070727878046,-0.09981288211964286
1994-07-22,-0.1681484141901209,0.13033518335845226,0.14606070727878046,-0.09981288211964286
1994-07-25,-0.1681484141901209,0.13033518335845226,0.14606070727878046,-0.09981288211964286
1994-07-26,-0.1681484141901209,0.13033518335845226,0.14606070727878046,-0.09981288211964286
1994-07-27,-0.1681484141901209,0.13033518335845226,0.14606070727878046,-0.09981288211964286
1994-07-28,-0.1681484141901209,0.13033518335845226,0.14606070727878046,-0.09981288211964286
1994-07-29,-0.16369643065442158,0.12447253080684532,0.15329761511653725,-0.09986482701092435
1994-08-01,-0.16369643065442158,0.12447253080684532,0.15329761511653725,-0.09986482701092435
