tdate,BO,C,CL,CT,GC,HG,KC,NG,S,SB,SI,SM,W,XBW
2007-03-06,0.0,-0.01788050932663826,0.03239634343600694,-0.05854897127819066,-0.05904720202975562,0.03058595188536403,0.022573448598827744,-0.009662007381801249,0.025069791639285674,0.0,-0.017734858595249182,0.04537979957039403,-0.03715848476372375,0.02838347739552726
2007-03-07,0.0,-0.01788050932663826,0.03239634343600694,-0.05854897127819066,-0.05904720202975562,0.03058595188536403,0.022573448598827744,-0.009662007381801249,0.025069791639285674,0.0,-0.017734858595249182,0.04537979957039403,-0.03715848476372375,0.02838347739552726
2007-03-08,0.0,-0.018880838607362106,0.03270174063684773,-0.05961808825290731,-0.060175553772160786,0.030506074935875066,0.022032162041392515,-0.00977835865336249,0.025508859343489763,0.0,-0.01772114037861488,0.04628091796855574,-0.037842629352988065,0.02913281011121339
2007-03-09,0.0,-0.018880838607362106,0.03270174063684773,-0.05961808825290731,-0.060175553772160786,0.030506074935875066,0.022032162041392515,-0.00977835865336249,0.025508859343489763,0.0,-0.01772114037861488,0.04628091796855574,-0.037842629352988065,0.02913281011121339
2007-03-12,0.0,-0.018880838607362106,0.03270174063684773,-0.05961808825290731,-0.060175553772160786,0.030506074935875066,0.022032162041392515,-0.00977835865336249,0.025508859343489763,0.0,-0.01772114037861488,0.04628091796855574,-0.037842629352988065,0.02913281011121339
2007-03-13,0.0,-0.018880838607362106,0.03270174063684773,-0.05961808825290731,-0.060175553772160786,0.030506074935875066,0.022032162041392515,-0.00977835865336249,0.025508859343489763,0.0,-0.01772114037861488,0.04628091796855574,-0.037842629352988065,0.02913281011121339
2007-03-14,0.0,-0.01895157446813045,0.03271497116861217,-0.059325236409462634,-0.06041484987651008,0.030657801048574268,0.022551722797661343,-0.009889019819429147,0.025543627378669508,0.0,-0.017699481725213916,0.046329015381725666,-0.037974445577700765,0.029625866663867028
2007-03-15,0.0,-0.01914745023159942,0.03305309980089512,-0.059938397917189704,-0.06103927318573564,0.030974667607432886,0.022784808229584733,-0.009991228705046951,0.02580763591911968,0.0,-0.01788241636749187,0.04680785323627551,-0.0383669339977184,0.02993206756875614
2007-03-16,0.0,-0.019353860434534333,0.03340941340688488,-0.06058453600492648,-0.06169727874850633,0.03130857563953945,0.023030429282707526,-0.010098934510239459,0.026085843163577985,0.0,-0.01807518945982189,0.04731244357956323,-0.03878053092768404,0.030254736334905084
2007-03-19,0.0,-0.019176075195474068,0.033102513366477036,-0.06002800433759194,-0.06113052538739917,0.031020973968361752,0.022818870953580553,-0.01000616534450996,0.025846217695645497,0.0,-0.017909150137070548,0.04687782981758172,-0.03842429161381775,0.02997681526844908
2007-03-20,0.0,-0.019176075195474068,0.033102513366477036,-0.06002800433759194,-0.06113052538739917,0.031020973968361752,0.022818870953580553,-0.01000616534450996,0.025846217695645497,0.0,-0.017909150137070548,0.04687782981758172,-0.03842429161381775,0.02997681526844908
2007-03-21,0.0,-0.019176075195474068,0.033102513366477036,-0.06002800433759194,-0.06113052538739917,0.031020973968361752,0.022818870953580553,-0.01000616534450996,0.025846217695645497,0.0,-0.017909150137070548,0.04687782981758172,-0.03842429161381775,0.02997681526844908
2007-03-22,0.0,-0.02015899570127159,0.03371998606237317,-0.06413048589900508,-0.06382599078474105,0.03153667663164044,0.023689880676211188,-0.010051870041806679,0.026741329266106856,0.0,-0.01828520418175845,0.048504458870564295,-0.039538208365195955,0.030428608337930173
2007-03-23,0.0,-0.01998800967691295,0.03343397745144469,-0.06358653931622134,-0.06328462689058904,0.031269186572183354,0.02348894613689282,-0.009966611365169836,0.026514512729954285,0.0,-0.01813011141751784,0.048093050251363005,-0.03920285033651192,0.030170516772081945
2007-03-26,0.0,-0.01998800967691295,0.03343397745144469,-0.06358653931622134,-0.06328462689058904,0.031269186572183354,0.02348894613689282,-0.009966611365169836,0.026514512729954285,0.0,-0.01813011141751784,0.048093050251363005,-0.03920285033651192,0.030170516772081945
2007-03-27,0.0,-0.01998800967691295,0.03343397745144469,-0.06358653931622134,-0.06328462689058904,0.031269186572183354,0.02348894613689282,-0.009966611365169836,0.026514512729954285,0.0,-0.01813011141751784,0.048093050251363005,-0.03920285033651192,0.030170516772081945
2007-03-28,0.0,-0.01998800967691295,0.03343397745144469,-0.06358653931622134,-0.06328462689058904,0.031269186572183354,0.02348894613689282,-0.009966611365169836,0.026514512729954285,0.0,-0.01813011141751784,0.048093050251363005,-0.03920285033651192,0.030170516772081945
2007-03-29,0.0,-0.0197672499394754,0.03306471226681757,-0.0628842508967683,-0.06258567297561589,0.030923830654853872,0.023229519927596226,-0.009856534046633296,0.02622167032277304,0.0,-0.017929871438603497,0.047561881349722696,-0.03876987021057731,0.029837295232337892
2007-03-30,0.0,-0.018425487314501738,0.03276468886358347,-0.0629002523809696,-0.06187023013750148,0.030561203032379303,0.023115328262522532,-0.010020729034638758,0.025473534731685846,0.0,-0.01790923162503021,0.04498304476372104,-0.03774590685238957,0.030201673780282278
2007-04-02,0.0,-0.017636372409560987,0.031361463868950584,-0.0602064008789096,-0.05922049176476432,0.029252347509910143,0.022125359869654113,-0.009591567704757274,0.024382570590809186,0.0,-0.01714222658629646,0.043056539891053076,-0.03612934946156914,0.028908215945089955
2007-04-03,0.0,-0.016694458188651232,0.03138586864126255,-0.06117006956141281,-0.06029989253383045,0.028866882954317042,0.02240902548475296,-0.009631152329438312,0.023643800083438478,0.0,-0.01751510320550638,0.04170702532926937,-0.035687648838833935,0.02894408706510884
