tdate,AEX,CAC,DAX,FTSE,MIB,OMX,SMI,SPX,TSX,AS51,HSI,NKY,SG,IBEX
2002-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-05-27,0.0,0.008429492271598112,0.008429492271598112,0.0,0.0,-0.008429492271598112,0.008429492271598112,-0.008429492271598112,-0.008429492271598112,-0.008429492271598112,0.0,0.008429492271598112,0.0,0.0
2002-05-28,0.0,0.009559745125723862,0.009559745125723862,0.0,0.0,-0.009559745125723862,0.009559745125723862,-0.009559745125723862,-0.009559745125723862,-0.009559745125723862,0.0,0.009559745125723862,0.0,0.0
2002-05-29,0.0,0.009559745125723862,0.009559745125723862,0.0,0.0,-0.009559745125723862,0.009559745125723862,-0.009559745125723862,-0.009559745125723862,-0.009559745125723862,0.0,0.009559745125723862,0.0,0.0
2002-05-30,0.0,0.009559745125723862,0.009559745125723862,0.0,0.0,-0.009559745125723862,0.009559745125723862,-0.009559745125723862,-0.009559745125723862,-0.009559745125723862,0.0,0.009559745125723862,0.0,0.0
2002-05-31,-0.01148000120446328,0.0,0.0,-0.01148000120446328,0.0,0.01148000120446328,0.01148000120446328,-0.01148000120446328,0.01148000120446328,-0.01148000120446328,0.01148000120446328,0.0,0.0,0.0
2002-06-03,-0.01148000120446328,0.0,0.0,-0.01148000120446328,0.0,0.01148000120446328,0.01148000120446328,-0.01148000120446328,0.01148000120446328,-0.01148000120446328,0.01148000120446328,0.0,0.0,0.0
2002-06-04,-0.016204994325063535,0.0,0.0,-0.016204994325063535,0.0,0.016204994325063535,0.016204994325063535,-0.016204994325063535,0.016204994325063535,-0.016204994325063535,0.016204994325063535,0.0,0.0,0.0
2002-06-05,-0.016204994325063535,0.0,0.0,-0.016204994325063535,0.0,0.016204994325063535,0.016204994325063535,-0.016204994325063535,0.016204994325063535,-0.016204994325063535,0.016204994325063535,0.0,0.0,0.0
2002-06-06,-0.016204994325063535,0.0,0.0,-0.016204994325063535,0.0,0.016204994325063535,0.016204994325063535,-0.016204994325063535,0.016204994325063535,-0.016204994325063535,0.016204994325063535,0.0,0.0,0.0
2002-06-07,-0.016204994325063535,0.0,0.0,-0.016204994325063535,0.0,0.016204994325063535,0.016204994325063535,-0.016204994325063535,0.016204994325063535,-0.016204994325063535,0.016204994325063535,0.0,0.0,0.0
2002-06-10,-0.016204994325063535,0.0,0.0,-0.016204994325063535,0.0,0.016204994325063535,0.016204994325063535,-0.016204994325063535,0.016204994325063535,-0.016204994325063535,0.016204994325063535,0.0,0.0,0.0
2002-06-11,-0.06976727325082178,0.0,0.0,-0.06976727325082178,0.0,0.06976727325082178,0.06976727325082178,-0.06976727325082178,0.06976727325082178,-0.06976727325082178,0.06976727325082178,0.0,0.0,0.0
2002-06-12,-0.06976727325082178,0.0,0.0,-0.06976727325082178,0.0,0.06976727325082178,0.06976727325082178,-0.06976727325082178,0.06976727325082178,-0.06976727325082178,0.06976727325082178,0.0,0.0,0.0
2002-06-13,-0.06976727325082178,0.0,0.0,-0.06976727325082178,0.0,0.06976727325082178,0.06976727325082178,-0.06976727325082178,0.06976727325082178,-0.06976727325082178,0.06976727325082178,0.0,0.0,0.0
2002-06-14,-0.06976727325082178,0.0,0.0,-0.06976727325082178,0.0,0.06976727325082178,0.06976727325082178,-0.06976727325082178,0.06976727325082178,-0.06976727325082178,0.06976727325082178,0.0,0.0,0.0
2002-06-17,-0.06976727325082178,0.0,0.0,-0.06976727325082178,0.0,0.06976727325082178,0.06976727325082178,-0.06976727325082178,0.06976727325082178,-0.06976727325082178,0.06976727325082178,0.0,0.0,0.0
2002-06-18,-0.06976727325082178,0.0,0.0,-0.06976727325082178,0.0,0.06976727325082178,0.06976727325082178,-0.06976727325082178,0.06976727325082178,-0.06976727325082178,0.06976727325082178,0.0,0.0,0.0
2002-06-19,-0.06976727325082178,0.0,0.0,-0.06976727325082178,0.0,0.06976727325082178,0.06976727325082178,-0.06976727325082178,0.06976727325082178,-0.06976727325082178,0.06976727325082178,0.0,0.0,0.0
2002-06-20,-0.06976727325082178,0.0,0.0,-0.06976727325082178,0.0,0.06976727325082178,0.06976727325082178,-0.06976727325082178,0.06976727325082178,-0.06976727325082178,0.06976727325082178,0.0,0.0,0.0
2002-06-21,-0.06976727325082178,0.0,0.0,-0.06976727325082178,0.0,0.06976727325082178,0.06976727325082178,-0.06976727325082178,0.06976727325082178,-0.06976727325082178,0.06976727325082178,0.0,0.0,0.0
2002-06-24,-0.06976727325082178,0.0,0.0,-0.06976727325082178,0.0,0.06976727325082178,0.06976727325082178,-0.06976727325082178,0.06976727325082178,-0.06976727325082178,0.06976727325082178,0.0,0.0,0.0
2002-06-25,-0.06482333173486557,0.0,0.0,-0.06482333173486557,0.0,0.06482333173486557,0.06482333173486557,-0.06482333173486557,0.06482333173486557,-0.06482333173486557,0.06482333173486557,0.0,0.0,0.0
2002-06-26,-0.06482333173486557,0.0,0.0,-0.06482333173486557,0.0,0.06482333173486557,0.06482333173486557,-0.06482333173486557,0.06482333173486557,-0.06482333173486557,0.06482333173486557,0.0,0.0,0.0
2002-06-27,-0.06482333173486557,0.0,0.0,-0.06482333173486557,0.0,0.06482333173486557,0.06482333173486557,-0.06482333173486557,0.06482333173486557,-0.06482333173486557,0.06482333173486557,0.0,0.0,0.0
2002-06-28,-0.0625236401188884,0.0,0.0625236401188884,-0.0625236401188884,0.0,-0.0625236401188884,0.0625236401188884,0.0,0.0625236401188884,0.0,0.0625236401188884,-0.0625236401188884,0.0,0.0
