tdate,SA,BR,ID,IN,MY,MX,KR,RU,TW,CN
2005-04-22,0.0625065981423185,0.0,0.0,0.0,0.0,0.0,0.056953361597437004,0.0,0.0625065981423185,0.0
2005-04-25,0.0625065981423185,0.0,0.0,0.0,0.0,0.0,0.05700243135962433,0.0,0.0625065981423185,0.0
2005-04-26,0.0625065981423185,0.0,0.0,0.0,0.0,0.0,0.05697781205351454,0.0,0.0625065981423185,0.0
2005-04-27,0.0625065981423185,0.0,0.0,0.0,0.0,0.0,0.05697781205351454,0.0,0.0625065981423185,0.0
2005-04-28,0.0625065981423185,0.0,0.0,0.0,0.0,0.0,0.0557544267008555,0.0,0.0625065981423185,0.0
2005-04-29,0.0625065981423185,0.0,0.0,0.0,0.0,0.0,0.0557544267008555,0.0,0.0625065981423185,0.0
2005-05-02,0.0625065981423185,0.0,0.0,0.0,0.0,0.0,0.0557544267008555,0.0,0.0625065981423185,0.0
2005-05-03,0.0625065981423185,0.0,0.0,0.0,0.0,0.0,0.0557544267008555,0.0,0.0625065981423185,0.0
2005-05-04,0.0625065981423185,0.0,0.0,0.0,0.0,0.0,0.05459972917491969,0.0,0.0625065981423185,0.0
2005-05-05,0.0625065981423185,0.0,0.0,0.0,0.0,0.0,0.05501612671652764,0.0,0.0625065981423185,0.0
2005-05-06,0.0625065981423185,0.0,0.0,0.0,0.0,0.0,0.05501612671652764,0.0,0.0625065981423185,0.0
2005-05-09,0.0625065981423185,0.0,0.0,0.0,0.0,0.0,0.05501612671652764,0.0,0.0625065981423185,0.0
2005-05-10,0.0625065981423185,0.0,0.0,0.0,0.0,0.0,0.05501612671652764,0.0,0.0625065981423185,0.0
2005-05-11,0.06402353983873336,0.0,0.0,0.0,0.0,0.0,0.05553235709100408,0.0,0.06402353983873336,0.0
2005-05-12,0.06402353983873336,0.0,0.0,0.0,0.0,0.0,0.05553235709100408,0.0,0.06402353983873336,0.0
2005-05-13,0.06402353983873336,0.0,0.0,0.0,0.0,0.0,0.05553235709100408,0.0,0.06402353983873336,0.0
2005-05-16,0.06402353983873336,0.0,0.0,0.0,0.0,0.0,0.05553235709100408,0.0,0.06402353983873336,0.0
2005-05-17,0.06402353983873336,0.0,0.0,0.0,0.0,0.0,0.05553235709100408,0.0,0.06402353983873336,0.0
2005-05-18,0.06402353983873336,0.0,0.0,0.0,0.0,0.0,0.05553235709100408,0.0,0.06402353983873336,0.0
2005-05-19,0.06402353983873336,0.0,0.0,0.0,0.0,0.0,0.05510849607300805,0.0,0.06402353983873336,0.0
2005-05-20,0.06402353983873336,0.0,0.0,0.0,0.0,0.0,0.05510849607300805,0.0,0.06402353983873336,0.0
2005-05-23,0.06402353983873336,0.0,0.0,0.0,0.0,0.0,0.05915961349002392,0.0,0.06402353983873336,0.0
2005-05-24,0.06402353983873336,0.0,0.0,0.0,0.0,0.0,0.05915961349002392,0.0,0.06402353983873336,0.0
2005-05-25,0.06402353983873336,0.0,0.0,0.0,0.0,0.0,0.05915961349002392,0.0,0.06402353983873336,0.0
2005-05-26,0.06402353983873336,0.0,0.0,0.0,0.0,0.0,0.05878617729772071,0.0,0.06402353983873336,0.0
2005-05-27,0.06402353983873336,0.0,0.0,0.0,0.0,0.0,0.05878617729772071,0.0,0.06402353983873336,0.0
2005-05-30,0.06402353983873336,0.0,0.0,0.0,0.0,0.0,0.05878617729772071,0.0,0.06402353983873336,0.0
2005-05-31,0.06402353983873336,0.0,0.0,0.0,0.0,0.0,0.05878617729772071,0.0,0.06402353983873336,0.0
2005-06-01,0.06402353983873336,0.0,0.0,0.0,0.0,0.0,0.05878617729772071,0.0,0.06402353983873336,0.0
2005-06-02,0.06402353983873336,0.0,0.0,0.0,0.0,0.0,0.05878617729772071,0.0,0.06402353983873336,0.0
2005-06-03,0.06402353983873336,0.0,0.0,0.0,0.0,0.0,0.05878617729772071,0.0,0.06402353983873336,0.0
2005-06-06,0.06567728996422612,0.0,0.0,0.0,0.0,0.0,0.060791269771644285,0.0,0.06567728996422612,0.0
2005-06-07,0.06567728996422612,0.0,0.0,0.0,0.0,0.0,0.060791269771644285,0.0,0.06567728996422612,0.0
2005-06-08,0.06567728996422612,0.0,0.0,0.0,0.0,0.0,0.060791269771644285,0.0,0.06567728996422612,0.0
2005-06-09,0.06567728996422612,0.0,0.0,0.0,0.0,0.0,0.060791269771644285,0.0,0.06567728996422612,0.0
2005-06-10,0.06567728996422612,0.0,0.0,0.0,0.0,0.0,0.060791269771644285,0.0,0.06567728996422612,0.0
2005-06-13,0.06567728996422612,0.0,0.0,0.0,0.0,0.0,0.060791269771644285,0.0,0.06567728996422612,0.0
2005-06-14,0.06567728996422612,0.0,0.0,0.0,0.0,0.0,0.060791269771644285,0.0,0.06567728996422612,0.0
2005-06-15,0.06567728996422612,0.0,0.0,0.0,0.0,0.0,0.060791269771644285,0.0,0.06567728996422612,0.0
2005-06-16,0.06567728996422612,0.0,0.0,0.0,0.0,0.0,0.060791269771644285,0.0,0.06567728996422612,0.0
2005-06-17,0.06567728996422612,0.0,0.0,0.0,0.0,0.0,0.060791269771644285,0.0,0.06567728996422612,0.0
2005-06-20,0.06567728996422612,0.0,0.0,0.0,0.0,0.0,0.060791269771644285,0.0,0.06567728996422612,0.0
2005-06-21,0.06567728996422612,0.0,0.0,0.0,0.0,0.0,0.060791269771644285,0.0,0.06567728996422612,0.0
2005-06-22,0.06567728996422612,0.0,0.0,0.0,0.0,0.0,0.060791269771644285,0.0,0.06567728996422612,0.0
2005-06-23,0.06567728996422612,0.0,0.0,0.0,0.0,0.0,0.060791269771644285,0.0,0.06567728996422612,0.0
2005-06-24,0.06567728996422612,0.0,0.0,0.0,0.0,0.0,0.060791269771644285,0.0,0.06567728996422612,0.0
2005-06-27,0.06567728996422612,0.0,0.0,0.0,0.0,0.0,0.060791269771644285,0.0,0.06567728996422612,0.0
2005-06-28,0.06567728996422612,0.0,0.0,0.0,0.0,0.0,0.06056478746935949,0.0,0.06567728996422612,0.0
2005-06-29,0.06567728996422612,0.0,0.0,0.0,0.0,0.0,0.06056478746935949,0.0,0.06567728996422612,0.0
2005-06-30,0.06567728996422612,0.0,0.0,0.0,0.0,0.0,0.06205024032267327,0.0,0.06567728996422612,0.0
2005-07-01,0.06567728996422612,0.0,0.0,0.0,0.0,0.0,0.06205024032267327,0.0,0.06567728996422612,0.0
2005-07-04,0.06567728996422612,0.0,0.0,0.0,0.0,0.0,0.06205024032267327,0.0,0.06567728996422612,0.0
2005-07-05,0.06567728996422612,0.0,0.0,0.0,0.0,0.0,0.06205024032267327,0.0,0.06567728996422612,0.0
2005-07-06,0.06567728996422612,0.0,0.0,0.0,0.0,0.0,0.06335851363329054,0.0,0.06567728996422612,0.0
2005-07-07,0.06567728996422612,0.0,0.0,0.0,0.0,0.0,0.06335851363329054,0.0,0.06567728996422612,0.0
2005-07-08,0.06567728996422612,0.0,0.0,0.0,0.0,0.0,0.06335851363329054,0.0,0.06567728996422612,0.0
2005-07-11,0.06373881692210762,0.0,0.0,0.0,0.0,0.0,0.061488479550980975,0.0,0.06373881692210762,0.0
2005-07-12,0.06373881692210762,0.0,0.0,0.0,0.0,0.0,0.061488479550980975,0.0,0.06373881692210762,0.0
2005-07-13,0.06373881692210762,0.0,0.0,0.0,0.0,0.0,0.061488479550980975,0.0,0.06373881692210762,0.0
2005-07-14,0.06373881692210762,0.0,0.0,0.0,0.0,0.0,0.061488479550980975,0.0,0.06373881692210762,0.0
2005-07-15,0.06373881692210762,0.0,0.0,0.0,0.0,0.0,0.061488479550980975,0.0,0.06373881692210762,0.0
2005-07-18,0.06373881692210762,0.0,0.0,0.0,0.0,0.0,0.061488479550980975,0.0,0.06373881692210762,0.0
2005-07-19,0.06373881692210762,0.0,0.0,0.0,0.0,0.0,0.061488479550980975,0.0,0.06373881692210762,0.0
2005-07-20,0.06373881692210762,0.0,0.0,0.0,0.0,0.0,0.061488479550980975,0.0,0.06373881692210762,0.0
2005-07-21,0.06373881692210762,0.0,0.0,0.0,0.0,0.0,0.061488479550980975,0.0,0.06373881692210762,0.0
2005-07-22,0.06373881692210762,0.0,0.0,0.0,0.0,0.0,0.06373881692210762,0.0,0.06373881692210762,0.0
2005-07-25,0.06373881692210762,0.0,0.0,0.0,0.0,0.0,0.06373881692210762,0.0,0.06373881692210762,0.0
2005-07-26,0.06373881692210762,0.0,0.0,0.0,0.0,0.0,0.06373881692210762,0.0,0.06373881692210762,0.0
2005-07-27,0.06373881692210762,0.0,0.0,0.0,0.0,0.0,0.06373881692210762,0.0,0.06373881692210762,0.0
2005-07-28,0.06373881692210762,0.0,0.0,0.0,0.0,0.0,0.06373881692210762,0.0,0.06373881692210762,0.0
2005-07-29,0.06373881692210762,0.0,0.0,0.0,0.0,0.0,0.06373881692210762,0.0,0.06373881692210762,0.0
2005-08-01,0.06373881692210762,0.0,0.0,0.0,0.0,0.0,0.06373881692210762,0.0,0.06373881692210762,0.0
2005-08-02,0.06373881692210762,0.0,0.0,0.0,0.0,0.0,0.06373881692210762,0.0,0.06373881692210762,0.0
2005-08-03,0.06373881692210762,0.0,0.0,0.0,0.0,0.0,0.06373881692210762,0.0,0.06373881692210762,0.0
2005-08-04,0.06373881692210762,0.0,0.0,0.0,0.0,0.0,0.06373881692210762,0.0,0.06373881692210762,0.0
