tdate,BOND,CANA,BUND,GILT
1992-06-05,0.0,0.0,0.0,0.0
1992-06-08,0.0,0.0,0.0,0.0
1992-06-09,0.0,0.0,0.0,0.0
1992-06-10,0.0,0.0,0.0,0.0
1992-06-11,0.0,0.0,0.0,0.0
1992-06-12,0.0,0.0,0.0,0.0
1992-06-15,0.0,0.0,0.0,0.0
1992-06-16,0.0,0.0,0.0,0.0
1992-06-17,0.0,0.0,0.0,0.0
1992-06-18,0.0,0.0,0.0,0.0
1992-06-19,0.0,0.0,0.0,0.0
1992-06-22,0.0,0.0,0.0,0.0
1992-06-23,0.0,0.0,0.0,0.0
1992-06-24,0.0,0.0,0.0,0.0
1992-06-25,0.0,0.0,0.0,0.0
1992-06-26,0.0,0.0,0.0,0.0
1992-06-29,0.0,0.0,0.0,0.0
1992-06-30,0.0,0.0,0.0,0.0
1992-07-01,0.0,0.0,0.0,0.0
1992-07-02,0.0,0.0,0.0,0.0
1992-07-03,0.0,0.0,0.0,0.0
1992-07-06,0.0,0.0,0.0,0.0
1992-07-07,0.0,0.0,0.0,0.0
1992-07-08,0.0,0.0,0.0,0.0
1992-07-09,0.0,0.0,0.0,0.0
1992-07-10,0.0,0.0,0.0,0.0
1992-07-13,0.0,0.0,0.0,0.0
1992-07-14,0.0,0.0,0.0,0.0
1992-07-15,0.0,0.0,0.0,0.0
1992-07-16,0.0,0.0,0.0,0.0
1992-07-17,0.0,0.0,0.0,0.0
1992-07-20,0.0,0.0,0.0,0.0
1992-07-21,0.0,0.0,0.0,0.0
1992-07-22,0.0,0.0,0.0,0.0
1992-07-23,0.0,0.0,0.0,0.0
1992-07-24,0.0,0.0,0.0,0.0
1992-07-27,0.0,0.0,0.0,0.0
1992-07-28,0.0,0.0,0.0,0.0
1992-07-29,0.0,0.0,0.0,0.0
1992-07-30,0.0,0.0,0.0,0.0
1992-07-31,0.0,0.0,0.0,0.0
1992-08-03,0.0,0.0,0.0,0.0
1992-08-04,0.0,0.0,0.0,0.0
1992-08-05,0.0,0.0,0.0,0.0
1992-08-06,0.0,0.0,0.0,0.0
1992-08-07,0.0,0.0,0.0,0.0
1992-08-10,0.0,0.0,0.0,0.0
1992-08-11,0.0,0.0,0.0,0.0
1992-08-12,0.0,0.0,0.0,0.0
1992-08-13,0.0,0.0,0.0,0.0
1992-08-14,0.0,0.0,0.0,0.0
1992-08-17,0.0,0.0,0.0,0.0
1992-08-18,0.0,0.0,0.0,0.0
1992-08-19,0.0,0.0,0.0,0.0
1992-08-20,0.0,0.0,0.0,0.0
1992-08-21,0.0,0.0,0.0,0.0
1992-08-24,0.0,0.0,0.0,0.0
1992-08-25,0.0,0.0,0.0,0.0
1992-08-26,0.0,0.0,0.0,0.0
1992-08-27,0.0,0.0,0.0,0.0
1992-08-28,0.0,0.0,0.0,0.0
1992-08-31,0.0,0.0,0.0,0.0
1992-09-01,0.0,0.0,0.0,0.0
1992-09-02,0.0,0.0,0.0,0.0
1992-09-03,0.0,0.0,0.0,0.0
1992-09-04,0.0,0.0,0.0,0.0
1992-09-07,0.0,0.0,0.0,0.0
1992-09-08,0.0,0.0,0.0,0.0
1992-09-09,0.0,0.0,0.0,0.0
1992-09-10,0.0,0.0,0.0,0.0
1992-09-11,0.0,0.0,0.0,0.0
1992-09-14,0.0,0.0,0.0,0.0
1992-09-15,0.0,0.0,0.0,0.0
1992-09-16,0.0,0.0,0.0,0.0
1992-09-17,0.0,0.0,0.0,0.0
1992-09-18,0.0,0.0,0.0,0.0
1992-09-21,0.0,0.0,0.0,0.0
1992-09-22,0.0,0.0,0.0,0.0
1992-09-23,0.0,0.0,0.0,0.0
1992-09-24,0.0,0.0,0.0,0.0
1992-09-25,0.0,0.0,0.0,0.0
1992-09-28,0.0,0.0,0.0,0.0
1992-09-29,0.0,0.0,0.0,0.0
1992-09-30,0.0,0.0,0.0,0.0
1992-10-01,0.0,0.0,0.0,0.0
1992-10-02,0.0,0.0,0.0,0.0
1992-10-05,-0.2110767106521393,0.16777447064015424,-0.31255376342509134,0.1556932776853034
1992-10-06,-0.2110767106521393,0.16777447064015424,-0.31255376342509134,0.1556932776853034
1992-10-07,-0.2110767106521393,0.16777447064015424,-0.31255376342509134,0.1556932776853034
1992-10-08,-0.2110767106521393,0.16777447064015424,-0.31255376342509134,0.1556932776853034
1992-10-09,-0.2110767106521393,0.16777447064015424,-0.31255376342509134,0.1556932776853034
1992-10-12,-0.2110767106521393,0.16777447064015424,-0.31255376342509134,0.1556932776853034
1992-10-13,-0.19661020275216617,0.15627575674874086,-0.29113234997883447,0.1450225692748475
1992-10-14,-0.19661020275216617,0.15627575674874086,-0.29113234997883447,0.1450225692748475
1992-10-15,-0.19661020275216617,0.15627575674874086,-0.29113234997883447,0.1450225692748475
1992-10-16,-0.19661020275216617,0.15627575674874086,-0.29113234997883447,0.1450225692748475
1992-10-19,-0.19661020275216617,0.15627575674874086,-0.29113234997883447,0.1450225692748475
1992-10-20,-0.19661020275216617,0.15627575674874086,-0.29113234997883447,0.1450225692748475
1992-10-21,-0.19661020275216617,0.15627575674874086,-0.29113234997883447,0.1450225692748475
1992-10-22,-0.19661020275216617,0.15627575674874086,-0.29113234997883447,0.1450225692748475
1992-10-23,-0.19661020275216617,0.15627575674874086,-0.29113234997883447,0.1450225692748475
1992-10-26,-0.19661020275216617,0.15627575674874086,-0.29113234997883447,0.1450225692748475
1992-10-27,-0.18817238661150415,0.1495689527058659,-0.2786379768113504,0.1387987123302002
1992-10-28,-0.18817238661150415,0.1495689527058659,-0.2786379768113504,0.1387987123302002
1992-10-29,-0.18817238661150415,0.1495689527058659,-0.2786379768113504,0.1387987123302002
1992-10-30,-0.11412063730365996,-0.09721329522995964,0.17932040516709763,0.08265490514463886
1992-11-02,-0.11412063730365996,-0.09721329522995964,0.17932040516709763,0.08265490514463886
1992-11-03,-0.11412063730365996,-0.09721329522995964,0.17932040516709763,0.08265490514463886
1992-11-04,-0.11412063730365996,-0.09721329522995964,0.17932040516709763,0.08265490514463886
1992-11-05,-0.11412063730365996,-0.09721329522995964,0.17932040516709763,0.08265490514463886
1992-11-06,-0.11412063730365996,-0.09721329522995964,0.17932040516709763,0.08265490514463886
1992-11-09,-0.11412063730365996,-0.09721329522995964,0.17932040516709763,0.08265490514463886
