tdate,CAC,AEX,SPX,DAX,HSI,IBEX,NKY,TSX,OMX,SG,SMI,MIB,AS51,FTSE
1993-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-06-07,0.0,-0.011600084421350226,0.0,0.0,0.0,0.011600084421350226,0.0,-0.011600084421350226,0.011600084421350226,0.011600084421350226,0.011600084421350226,0.0,-0.011600084421350226,-0.011600084421350226
1993-06-08,0.0,-0.012209137941788874,0.0,0.0,0.0,0.012209137941788874,0.0,-0.012209137941788874,0.012209137941788874,0.012209137941788874,0.012209137941788874,0.0,-0.012209137941788874,-0.012209137941788874
1993-06-09,0.0,-0.012209137941788874,0.0,0.0,0.0,0.012209137941788874,0.0,-0.012209137941788874,0.012209137941788874,0.012209137941788874,0.012209137941788874,0.0,-0.012209137941788874,-0.012209137941788874
1993-06-10,0.0,-0.012209137941788874,0.0,0.0,0.0,0.012209137941788874,0.0,-0.012209137941788874,0.012209137941788874,0.012209137941788874,0.012209137941788874,0.0,-0.012209137941788874,-0.012209137941788874
1993-06-11,0.0,-0.012209137941788874,0.0,0.0,0.0,0.012209137941788874,0.0,-0.012209137941788874,0.012209137941788874,0.012209137941788874,0.012209137941788874,0.0,-0.012209137941788874,-0.012209137941788874
1993-06-14,0.0,-0.012209137941788874,0.0,0.0,0.0,0.012209137941788874,0.0,-0.012209137941788874,0.012209137941788874,0.012209137941788874,0.012209137941788874,0.0,-0.012209137941788874,-0.012209137941788874
1993-06-15,0.0,-0.015648282685130195,0.0,0.0,0.0,0.015648282685130195,0.0,-0.015648282685130195,0.015648282685130195,0.015648282685130195,0.015648282685130195,0.0,-0.015648282685130195,-0.015648282685130195
1993-06-16,0.0,-0.015648282685130195,0.0,0.0,0.0,0.015648282685130195,0.0,-0.015648282685130195,0.015648282685130195,0.015648282685130195,0.015648282685130195,0.0,-0.015648282685130195,-0.015648282685130195
1993-06-17,0.0,-0.015648282685130195,0.0,0.0,0.0,0.015648282685130195,0.0,-0.015648282685130195,0.015648282685130195,0.015648282685130195,0.015648282685130195,0.0,-0.015648282685130195,-0.015648282685130195
1993-06-18,0.0,-0.015648282685130195,0.0,0.0,0.0,0.015648282685130195,0.0,-0.015648282685130195,0.015648282685130195,0.015648282685130195,0.015648282685130195,0.0,-0.015648282685130195,-0.015648282685130195
1993-06-21,0.0,-0.015648282685130195,0.0,0.0,0.0,0.015648282685130195,0.0,-0.015648282685130195,0.015648282685130195,0.015648282685130195,0.015648282685130195,0.0,-0.015648282685130195,-0.015648282685130195
1993-06-22,0.0,-0.0189373441940842,0.0,0.0,0.0,0.0189373441940842,0.0,-0.0189373441940842,0.0189373441940842,0.0189373441940842,0.0189373441940842,0.0,-0.0189373441940842,-0.0189373441940842
1993-06-23,0.0,-0.0189373441940842,0.0,0.0,0.0,0.0189373441940842,0.0,-0.0189373441940842,0.0189373441940842,0.0189373441940842,0.0189373441940842,0.0,-0.0189373441940842,-0.0189373441940842
1993-06-24,0.0,-0.0189373441940842,0.0,0.0,0.0,0.0189373441940842,0.0,-0.0189373441940842,0.0189373441940842,0.0189373441940842,0.0189373441940842,0.0,-0.0189373441940842,-0.0189373441940842
1993-06-25,0.0,-0.0189373441940842,0.0,0.0,0.0,0.0189373441940842,0.0,-0.0189373441940842,0.0189373441940842,0.0189373441940842,0.0189373441940842,0.0,-0.0189373441940842,-0.0189373441940842
1993-06-28,0.0,-0.0189373441940842,0.0,0.0,0.0,0.0189373441940842,0.0,-0.0189373441940842,0.0189373441940842,0.0189373441940842,0.0189373441940842,0.0,-0.0189373441940842,-0.0189373441940842
1993-06-29,0.0,-0.027205266252537462,0.0,0.0,0.0,0.027205266252537462,0.0,-0.027205266252537462,0.027205266252537462,0.027205266252537462,0.027205266252537462,0.0,-0.027205266252537462,-0.027205266252537462
1993-06-30,-0.024786514656639492,-0.024786514656639492,0.0,0.0,0.0,0.024786514656639492,0.024786514656639492,0.0,0.024786514656639492,0.0,0.024786514656639492,0.0,-0.024786514656639492,-0.024786514656639492
1993-07-01,-0.024786514656639492,-0.024786514656639492,0.0,0.0,0.0,0.024786514656639492,0.024786514656639492,0.0,0.024786514656639492,0.0,0.024786514656639492,0.0,-0.024786514656639492,-0.024786514656639492
1993-07-02,-0.024786514656639492,-0.024786514656639492,0.0,0.0,0.0,0.024786514656639492,0.024786514656639492,0.0,0.024786514656639492,0.0,0.024786514656639492,0.0,-0.024786514656639492,-0.024786514656639492
1993-07-05,-0.024786514656639492,-0.024786514656639492,0.0,0.0,0.0,0.024786514656639492,0.024786514656639492,0.0,0.024786514656639492,0.0,0.024786514656639492,0.0,-0.024786514656639492,-0.024786514656639492
1993-07-06,-0.05998230687941281,-0.05998230687941281,0.0,0.0,0.0,0.05998230687941281,0.05998230687941281,0.0,0.05998230687941281,0.0,0.05998230687941281,0.0,-0.05998230687941281,-0.05998230687941281
1993-07-07,-0.05998230687941281,-0.05998230687941281,0.0,0.0,0.0,0.05998230687941281,0.05998230687941281,0.0,0.05998230687941281,0.0,0.05998230687941281,0.0,-0.05998230687941281,-0.05998230687941281
1993-07-08,-0.05998230687941281,-0.05998230687941281,0.0,0.0,0.0,0.05998230687941281,0.05998230687941281,0.0,0.05998230687941281,0.0,0.05998230687941281,0.0,-0.05998230687941281,-0.05998230687941281
1993-07-09,-0.05998230687941281,-0.05998230687941281,0.0,0.0,0.0,0.05998230687941281,0.05998230687941281,0.0,0.05998230687941281,0.0,0.05998230687941281,0.0,-0.05998230687941281,-0.05998230687941281
