tdate,CANA,GILT,BUND,BOND
1997-06-09,-0.03830943559202467,-0.03351844234681608,-0.0457207847555537,-0.05198016442368758
1997-06-10,-0.03830943559202467,-0.03351844234681608,-0.0457207847555537,-0.05198016442368758
1997-06-11,-0.03830943559202467,-0.03351844234681608,-0.0457207847555537,-0.05198016442368758
1997-06-12,-0.03830943559202467,-0.03351844234681608,-0.0457207847555537,-0.05198016442368758
1997-06-13,-0.03830943559202467,-0.03351844234681608,-0.0457207847555537,-0.05198016442368758
1997-06-16,-0.03830943559202467,-0.03351844234681608,-0.0457207847555537,-0.05198016442368758
1997-06-17,-0.03830943559202467,-0.03351844234681608,-0.0457207847555537,-0.05198016442368758
1997-06-18,-0.03830943559202467,-0.03351844234681608,-0.0457207847555537,-0.05198016442368758
1997-06-19,-0.03830943559202467,-0.03351844234681608,-0.0457207847555537,-0.05198016442368758
1997-06-20,-0.03830943559202467,-0.03351844234681608,-0.0457207847555537,-0.05198016442368758
1997-06-23,0.19154717510584804,0.16759220923676188,0.22860392037130464,0.2599008182456139
1997-06-24,0.19154717510584804,0.16759220923676188,0.22860392037130464,0.2599008182456139
1997-06-25,0.19154717510584804,0.16759220923676188,0.22860392037130464,0.2599008182456139
1997-06-26,0.19154717510584804,0.16759220923676188,0.22860392037130464,0.2599008182456139
1997-06-27,0.19154717510584804,0.16759220923676188,0.22860392037130464,0.2599008182456139
1997-06-30,-0.03683151305684145,-0.03222534939143691,-0.04395694310473697,-0.04997484497177976
1997-07-01,-0.03683151305684145,-0.03222534939143691,-0.04395694310473697,-0.04997484497177976
1997-07-02,-0.03845521154199287,-0.034130650496572726,-0.045573550646314444,-0.057770115355454
1997-07-03,-0.03845521154199287,-0.034130650496572726,-0.045573550646314444,-0.057770115355454
1997-07-04,-0.03845521154199287,-0.034130650496572726,-0.045573550646314444,-0.057770115355454
1997-07-07,-0.03845521154199287,-0.034130650496572726,-0.045573550646314444,-0.057770115355454
1997-07-08,-0.03845521154199287,-0.034130650496572726,-0.045573550646314444,-0.057770115355454
1997-07-09,-0.03845521154199287,-0.034130650496572726,-0.045573550646314444,-0.057770115355454
1997-07-10,-0.03845521154199287,-0.034130650496572726,-0.045573550646314444,-0.057770115355454
1997-07-11,-0.03845521154199287,-0.034130650496572726,-0.045573550646314444,-0.057770115355454
1997-07-14,-0.03845521154199287,-0.034130650496572726,-0.045573550646314444,-0.057770115355454
1997-07-15,-0.03845521154199287,-0.034130650496572726,-0.045573550646314444,-0.057770115355454
1997-07-16,-0.03845521154199287,-0.034130650496572726,-0.045573550646314444,-0.057770115355454
1997-07-17,-0.03845521154199287,-0.034130650496572726,-0.045573550646314444,-0.057770115355454
1997-07-18,-0.03845521154199287,-0.034130650496572726,-0.045573550646314444,-0.057770115355454
1997-07-21,-0.03821211622543643,-0.03648100153151575,-0.05227718492094135,-0.06074899023264743
1997-07-22,-0.03821211622543643,-0.03648100153151575,-0.05227718492094135,-0.06074899023264743
1997-07-23,0.19106057828015768,0.18240500493953232,0.261385920709753,0.30374494663708473
1997-07-24,0.19106057828015768,0.18240500493953232,0.261385920709753,0.30374494663708473
1997-07-25,0.19106057828015768,0.18240500493953232,0.261385920709753,0.30374494663708473
1997-07-28,0.19106057828015768,0.18240500493953232,0.261385920709753,0.30374494663708473
1997-07-29,0.19106057828015768,0.18240500493953232,0.261385920709753,0.30374494663708473
1997-07-30,0.18503156099527138,0.17664911883508616,0.25313775016525564,0.29416011469552855
1997-07-31,-0.0370063127504913,-0.03532982429347263,-0.05062755078746042,-0.05883202381577117
1997-08-01,-0.03568317127181627,-0.03515959739327677,-0.049531148702470607,-0.05463848488966057
1997-08-04,-0.03568317127181627,-0.03515959739327677,-0.049531148702470607,-0.05463848488966057
1997-08-05,-0.03568317127181627,-0.03515959739327677,-0.049531148702470607,-0.05463848488966057
1997-08-06,-0.03568317127181627,-0.03515959739327677,-0.049531148702470607,-0.05463848488966057
1997-08-07,-0.03568317127181627,-0.03515959739327677,-0.049531148702470607,-0.05463848488966057
1997-08-08,-0.03568317127181627,-0.03515959739327677,-0.049531148702470607,-0.05463848488966057
1997-08-11,-0.03568317127181627,-0.03515959739327677,-0.049531148702470607,-0.05463848488966057
1997-08-12,-0.03568317127181627,-0.03515959739327677,-0.049531148702470607,-0.05463848488966057
1997-08-13,-0.03568317127181627,-0.03515959739327677,-0.049531148702470607,-0.05463848488966057
1997-08-14,-0.03568317127181627,-0.03515959739327677,-0.049531148702470607,-0.05463848488966057
1997-08-15,-0.03568317127181627,-0.03515959739327677,-0.049531148702470607,-0.05463848488966057
1997-08-18,-0.03568317127181627,-0.03515959739327677,-0.049531148702470607,-0.05463848488966057
1997-08-19,-0.036899871122748396,-0.03635844478779132,-0.051220027215642214,-0.056501509784897784
1997-08-20,-0.036899871122748396,-0.03635844478779132,-0.051220027215642214,-0.056501509784897784
1997-08-21,-0.036899871122748396,-0.03635844478779132,-0.051220027215642214,-0.056501509784897784
1997-08-22,0.18449935286448738,0.1817922212300414,0.2561001322620217,0.28250754471479844
1997-08-25,0.18449935286448738,0.1817922212300414,0.2561001322620217,0.28250754471479844
1997-08-26,0.18449935286448738,0.1817922212300414,0.2561001322620217,0.28250754471479844
1997-08-27,0.18449935286448738,0.1817922212300414,0.2561001322620217,0.28250754471479844
1997-08-28,0.18449935286448738,0.1817922212300414,0.2561001322620217,0.28250754471479844
1997-08-29,-0.036899871122748396,-0.03635844478779132,-0.051220027215642214,-0.056501509784897784
