tdate,BOND,CANA,BUND,GILT
1994-05-03,-0.15320987239245598,0.04048662064639262,0.048034230789784374,0.031074146250351858
1994-05-04,-0.15320987239245598,0.04048662064639262,0.048034230789784374,0.031074146250351858
1994-05-05,-0.15320987239245598,0.04048662064639262,0.048034230789784374,0.031074146250351858
1994-05-06,-0.1407842804987887,0.03847276746700562,0.04722048153348237,0.030020783996115775
1994-05-09,-0.1407842804987887,0.03847276746700562,0.04722048153348237,0.030020783996115775
1994-05-10,-0.1407842804987887,0.03847276746700562,0.04722048153348237,0.030020783996115775
1994-05-11,-0.1350324762257728,0.03662622983599705,0.04658469833065206,0.030064775938471837
1994-05-12,-0.1350324762257728,0.03662622983599705,0.04658469833065206,0.030064775938471837
1994-05-13,-0.14264253981513886,0.03869038466660717,0.04921008539676019,0.031759145049420165
1994-05-16,-0.14264253981513886,0.03869038466660717,0.04921008539676019,0.031759145049420165
1994-05-17,-0.04754751327171295,0.03869038466660717,0.14763025619028058,0.031759145049420165
1994-05-18,-0.04754751327171295,0.03869038466660717,0.14763025619028058,0.031759145049420165
1994-05-19,-0.049955094512084866,0.04064948279596221,0.15510555428387138,0.033367277979407146
1994-05-20,-0.049955094512084866,0.04064948279596221,0.15510555428387138,0.033367277979407146
1994-05-23,-0.049955094512084866,0.04064948279596221,0.15510555428387138,0.033367277979407146
1994-05-24,-0.1498652835362546,0.04064948279596221,0.15510555428387138,0.033367277979407146
1994-05-25,-0.14551480441848105,0.04003686534531482,0.1458847086808995,0.03269940256639685
1994-05-26,-0.14551480441848105,0.04003686534531482,0.1458847086808995,0.03269940256639685
1994-05-27,-0.14551480441848105,0.04003686534531482,0.1458847086808995,0.03269940256639685
1994-05-30,-0.14551480441848105,0.04003686534531482,0.1458847086808995,0.03269940256639685
1994-05-31,-0.049486415937564296,0.04084699792366016,0.04961221232137741,0.03336106403971614
1994-06-01,-0.049486415937564296,0.04084699792366016,0.04961221232137741,0.03336106403971614
1994-06-02,-0.049279289909964184,0.040545470376004186,0.04902112568117899,0.03088704767087696
1994-06-03,-0.049279289909964184,0.040545470376004186,0.04902112568117899,0.03088704767087696
1994-06-06,-0.049279289909964184,0.040545470376004186,0.04902112568117899,0.03088704767087696
1994-06-07,-0.05037854772055169,0.04144990558755449,0.05011462470251801,0.03157603544769424
1994-06-08,-0.05037854772055169,0.04144990558755449,0.05011462470251801,0.03157603544769424
1994-06-09,-0.05037854772055169,0.04144990558755449,0.05011462470251801,0.03157603544769424
1994-06-10,-0.0520598880071887,0.04187673025062252,0.04920556999576892,0.03146772256045917
1994-06-13,-0.0520598880071887,0.04187673025062252,0.04920556999576892,0.03146772256045917
1994-06-14,-0.0520598880071887,0.04187673025062252,0.04920556999576892,0.03146772256045917
1994-06-15,-0.0520598880071887,0.04187673025062252,0.04920556999576892,0.03146772256045917
1994-06-16,-0.0520598880071887,0.04187673025062252,0.04920556999576892,0.03146772256045917
1994-06-17,-0.0520598880071887,0.04187673025062252,0.04920556999576892,0.03146772256045917
1994-06-20,-0.05127182632646846,0.03973524615145579,0.04692976496973285,0.030684753059182026
1994-06-21,-0.1538154789794054,0.03973524615145579,-0.14078929490919856,0.030684753059182026
1994-06-22,-0.15158006570259205,0.0391642422003373,-0.13166875056491245,0.029992637362518455
1994-06-23,-0.15158006570259205,0.0391642422003373,-0.13166875056491245,0.029992637362518455
1994-06-24,-0.15158006570259205,0.0391642422003373,-0.13166875056491245,0.029992637362518455
1994-06-27,-0.15158006570259205,0.0391642422003373,-0.13166875056491245,0.029992637362518455
1994-06-28,-0.15158006570259205,-0.11749272660101188,-0.043889583521637486,-0.029992637362518455
1994-06-29,-0.15158006570259205,-0.11749272660101188,-0.043889583521637486,-0.029992637362518455
1994-06-30,-0.15158006570259205,-0.11749272660101188,-0.043889583521637486,-0.029992637362518455
1994-07-01,-0.15158006570259205,-0.11749272660101188,-0.043889583521637486,-0.029992637362518455
1994-07-04,-0.15158006570259205,-0.11749272660101188,-0.043889583521637486,-0.029992637362518455
1994-07-05,-0.15158006570259205,-0.11749272660101188,-0.13166875056491245,-0.08997791208755536
1994-07-06,-0.15491779635488215,-0.1200798680775618,-0.13456804225391011,-0.09195918867436555
1994-07-07,-0.15491779635488215,-0.1200798680775618,-0.13456804225391011,-0.09195918867436555
1994-07-08,-0.1523428488718755,-0.11583942223785383,-0.14266526960150774,-0.09293844824911766
1994-07-11,-0.1523428488718755,-0.11583942223785383,-0.14266526960150774,-0.09293844824911766
1994-07-12,-0.1523428488718755,-0.11583942223785383,-0.04755508986716925,-0.030979482749705883
1994-07-13,-0.1523428488718755,-0.11583942223785383,-0.04755508986716925,-0.030979482749705883
1994-07-14,-0.14802292322339472,-0.11255460975773957,-0.04620658907468526,-0.03010100986372437
1994-07-15,-0.14802292322339472,-0.11255460975773957,-0.04620658907468526,-0.03010100986372437
1994-07-18,-0.14802292322339472,-0.11255460975773957,-0.04620658907468526,-0.03010100986372437
1994-07-19,-0.049340974407798235,-0.03751820325257985,-0.04620658907468526,-0.03010100986372437
1994-07-20,-0.049340974407798235,-0.03751820325257985,-0.04620658907468526,-0.03010100986372437
1994-07-21,-0.049340974407798235,-0.03751820325257985,-0.04620658907468526,-0.03010100986372437
1994-07-22,-0.049340974407798235,-0.03751820325257985,-0.04620658907468526,-0.03010100986372437
1994-07-25,-0.049340974407798235,-0.03751820325257985,-0.04620658907468526,-0.03010100986372437
1994-07-26,-0.049340974407798235,-0.03751820325257985,-0.04620658907468526,-0.03010100986372437
