tdate,CANA,GILT,BUND,BOND
1993-05-06,0.0,0.0,0.0,0.0
1993-05-07,0.12745073061205336,-0.0949769443817904,-0.18737943974571847,0.13356299745326133
1993-05-10,0.12745073061205336,-0.0949769443817904,-0.18737943974571847,0.13356299745326133
1993-05-11,0.12745073061205336,-0.0949769443817904,-0.18737943974571847,0.13356299745326133
1993-05-12,0.12745073061205336,-0.0949769443817904,-0.18737943974571847,0.13356299745326133
1993-05-13,0.12745073061205336,-0.0949769443817904,-0.18737943974571847,0.13356299745326133
1993-05-14,0.12745073061205336,-0.0949769443817904,-0.18737943974571847,0.13356299745326133
1993-05-17,0.12745073061205336,-0.0949769443817904,-0.18737943974571847,0.13356299745326133
1993-05-18,0.12745073061205336,-0.0949769443817904,-0.18737943974571847,0.13356299745326133
1993-05-19,0.12745073061205336,-0.0949769443817904,-0.18737943974571847,0.13356299745326133
1993-05-20,0.12745073061205336,-0.0949769443817904,-0.18737943974571847,0.13356299745326133
1993-05-21,0.12745073061205336,-0.0949769443817904,-0.18737943974571847,0.13356299745326133
1993-05-24,0.12745073061205336,-0.0949769443817904,-0.18737943974571847,0.13356299745326133
1993-05-25,0.12745073061205336,-0.0949769443817904,-0.18737943974571847,0.13356299745326133
1993-05-26,0.12745073061205336,-0.0949769443817904,-0.18737943974571847,0.13356299745326133
1993-05-27,0.12745073061205336,-0.0949769443817904,-0.18737943974571847,0.13356299745326133
1993-05-28,0.12745073061205336,-0.0949769443817904,-0.18737943974571847,0.13356299745326133
1993-05-31,0.13536192458286872,-0.10055629685223187,-0.18158617502372432,0.14180705019888162
1993-06-01,0.13536192458286872,-0.10055629685223187,-0.18158617502372432,0.14180705019888162
1993-06-02,0.13536192458286872,-0.10055629685223187,-0.18158617502372432,0.14180705019888162
1993-06-03,0.13536192458286872,-0.10055629685223187,-0.18158617502372432,0.14180705019888162
1993-06-04,0.13536192458286872,-0.10055629685223187,-0.18158617502372432,0.14180705019888162
1993-06-07,0.13536192458286872,-0.10055629685223187,-0.18158617502372432,0.14180705019888162
1993-06-08,0.13536192458286872,-0.10055629685223187,-0.18158617502372432,0.14180705019888162
1993-06-09,0.13536192458286872,-0.10055629685223187,-0.18158617502372432,0.14180705019888162
1993-06-10,0.13536192458286872,-0.10055629685223187,-0.18158617502372432,0.14180705019888162
1993-06-11,0.13536192458286872,-0.10055629685223187,-0.18158617502372432,0.14180705019888162
1993-06-14,0.13536192458286872,-0.10055629685223187,-0.18158617502372432,0.14180705019888162
1993-06-15,0.14202221031343001,-0.10550402252255502,-0.19052085746197014,0.1487844589188233
1993-06-16,0.14202221031343001,-0.10550402252255502,-0.19052085746197014,0.1487844589188233
1993-06-17,0.14202221031343001,-0.10550402252255502,-0.19052085746197014,0.1487844589188233
1993-06-18,0.14202221031343001,-0.10550402252255502,-0.19052085746197014,0.1487844589188233
1993-06-21,0.14202221031343001,-0.10550402252255502,-0.19052085746197014,0.1487844589188233
1993-06-22,0.14202221031343001,-0.10550402252255502,-0.19052085746197014,0.1487844589188233
1993-06-23,0.14202221031343001,-0.10550402252255502,-0.19052085746197014,0.1487844589188233
1993-06-24,0.14202221031343001,-0.10550402252255502,-0.19052085746197014,0.1487844589188233
1993-06-25,0.14202221031343001,-0.10550402252255502,-0.19052085746197014,0.1487844589188233
1993-06-28,0.14202221031343001,-0.10550402252255502,-0.19052085746197014,0.1487844589188233
1993-06-29,0.14202221031343001,-0.10550402252255502,-0.19052085746197014,0.1487844589188233
1993-06-30,0.1451834818786001,-0.1117095453649045,-0.1785400568562036,0.15754003680053938
1993-07-01,0.1451834818786001,-0.1117095453649045,-0.1785400568562036,0.15754003680053938
1993-07-02,0.1451834818786001,-0.1117095453649045,-0.1785400568562036,0.15754003680053938
1993-07-05,0.1451834818786001,-0.1117095453649045,-0.1785400568562036,0.15754003680053938
1993-07-06,0.1451834818786001,-0.1117095453649045,-0.1785400568562036,0.15754003680053938
1993-07-07,0.1451834818786001,-0.1117095453649045,-0.1785400568562036,0.15754003680053938
1993-07-08,0.1451834818786001,-0.1117095453649045,-0.1785400568562036,0.15754003680053938
1993-07-09,0.1451834818786001,-0.1117095453649045,-0.1785400568562036,0.15754003680053938
1993-07-12,0.1451834818786001,-0.1117095453649045,-0.1785400568562036,0.15754003680053938
1993-07-13,0.15693539797250317,-0.12075190464041874,-0.1929920299073063,0.17029215756492802
1993-07-14,0.15693539797250317,-0.12075190464041874,-0.1929920299073063,0.17029215756492802
1993-07-15,0.15693539797250317,-0.12075190464041874,-0.1929920299073063,0.17029215756492802
1993-07-16,0.15693539797250317,-0.12075190464041874,-0.1929920299073063,0.17029215756492802
1993-07-19,0.15693539797250317,-0.12075190464041874,-0.1929920299073063,0.17029215756492802
1993-07-20,0.17452965498280276,-0.13428957728900093,-0.21462864866251863,0.18938386042957261
1993-07-21,0.17452965498280276,-0.13428957728900093,-0.21462864866251863,0.18938386042957261
1993-07-22,0.17452965498280276,-0.13428957728900093,-0.21462864866251863,0.18938386042957261
1993-07-23,0.17452965498280276,-0.13428957728900093,-0.21462864866251863,0.18938386042957261
1993-07-26,0.17452965498280276,-0.13428957728900093,-0.21462864866251863,0.18938386042957261
1993-07-27,0.17452965498280276,-0.13428957728900093,-0.21462864866251863,0.18938386042957261
1993-07-28,0.17452965498280276,-0.13428957728900093,-0.21462864866251863,0.18938386042957261
1993-07-29,0.17452965498280276,-0.13428957728900093,-0.21462864866251863,0.18938386042957261
1993-07-30,0.17417186796523368,-0.14286599820063262,-0.21256328176915135,0.19659674654445566
