tdate,AEX,AS51,CAC,DAX,FTSE,HSI,IBEX,MIB,NKY,OMX,SG,SMI,SPX,TSX
2011-05-09,0.04509885067894758,0.04509885067894758,-0.040003890035183,-0.04427593354257318,0.0,0.03918188485960664,0.0,0.0,-0.025848074299272716,0.042419893867994454,0.0,-0.04509885067894758,0.0,0.04509885067894758
2011-05-10,0.0,0.04509885067894758,0.0,-0.04427593354257318,0.0,0.03918188485960664,0.03304874724180359,0.0,-0.025848074299272716,0.042419893867994454,0.0,-0.04509885067894758,-0.04509885067894758,0.04509885067894758
2011-05-11,0.0,0.04509885067894758,0.0,-0.04285376348375804,0.0,0.04083990401296781,0.03366049870549515,0.0,-0.02585225750105008,0.04297611716891214,0.0,-0.04509885067894758,-0.04509885067894758,0.04509885067894758
2011-05-12,0.0,0.04509885067894758,0.0,-0.04285376348375804,0.0,0.04083990401296781,0.03366049870549515,0.0,-0.02585225750105008,0.04297611716891214,0.0,-0.04509885067894758,-0.04509885067894758,0.04509885067894758
2011-05-13,0.0,0.04509885067894758,0.0,-0.04285376348375804,0.0,0.04083990401296781,0.03366049870549515,0.0,-0.02585225750105008,0.04297611716891214,0.0,-0.04509885067894758,-0.04509885067894758,0.04509885067894758
2011-05-16,0.0,0.04509885067894758,0.0,-0.04285376348375804,0.0,0.04083990401296781,0.03366049870549515,0.0,-0.02585225750105008,0.04297611716891214,0.0,-0.04509885067894758,-0.04509885067894758,0.04509885067894758
2011-05-17,0.04509885067894758,0.0,-0.04052269235785737,0.0,0.0,0.04083990401296781,0.03366049870549515,0.0,-0.02585225750105008,0.04297611716891214,-0.04447471553823287,-0.04509885067894758,0.0,0.04509885067894758
2011-05-18,0.04509885067894758,0.0,-0.0421667765353231,0.0,0.0,0.03996599879875131,0.038780022150479695,0.0,-0.025827116289129686,0.04324869125405829,-0.04356265272796686,-0.04509885067894758,0.0,0.04509885067894758
2011-05-19,0.04509885067894758,0.0,-0.0421667765353231,0.0,0.0,0.03996599879875131,0.038780022150479695,0.0,-0.025827116289129686,0.04324869125405829,-0.04356265272796686,-0.04509885067894758,0.0,0.04509885067894758
2011-05-20,0.04509885067894758,0.0,-0.0421667765353231,0.0,0.0,0.03996599879875131,0.038780022150479695,0.0,-0.025827116289129686,0.04324869125405829,-0.04356265272796686,-0.04509885067894758,0.0,0.04509885067894758
2011-05-23,0.04509885067894758,0.0,-0.0421667765353231,0.0,0.0,0.03996599879875131,0.038780022150479695,0.0,-0.025827116289129686,0.04324869125405829,-0.04356265272796686,-0.04509885067894758,0.0,0.04509885067894758
2011-05-24,0.0,-0.04509885067894758,0.0,0.0,0.0,0.039047805725358355,0.04148083975471857,0.03975678623818595,-0.025736894748766618,0.04186040073887814,-0.04182737229649043,-0.04509885067894758,0.0,0.04509885067894758
2011-05-25,0.0,-0.04509885067894758,0.0,0.0,0.0,0.039047805725358355,0.04148083975471857,0.03975678623818595,-0.025736894748766618,0.04186040073887814,-0.04182737229649043,-0.04509885067894758,0.0,0.04509885067894758
2011-05-26,0.0,-0.045875925972008624,0.0,0.0,0.0,0.0397206185492024,0.0421955749469363,0.040441815143626006,-0.026180354054897336,0.04258167595281615,-0.04254807841418405,-0.045875925972008624,0.0,0.045875925972008624
2011-05-27,0.0,-0.045875925972008624,0.0,0.0,0.0,0.0397206185492024,0.0421955749469363,0.040441815143626006,-0.026180354054897336,0.04258167595281615,-0.04254807841418405,-0.045875925972008624,0.0,0.045875925972008624
2011-05-30,0.0,-0.045875925972008624,0.0,0.0,0.0,0.0397206185492024,0.0421955749469363,0.040441815143626006,-0.026180354054897336,0.04258167595281615,-0.04254807841418405,-0.045875925972008624,0.0,0.045875925972008624
2011-05-31,0.0,0.0,-0.04207961877763646,0.04313562242141276,0.0,-0.0397206185492024,0.0421955749469363,0.040441815143626006,-0.026180354054897336,0.04258167595281615,0.0,-0.045875925972008624,0.0,0.045875925972008624
2011-06-01,0.0,0.0,-0.04207961877763646,0.04313562242141276,0.0,-0.0397206185492024,0.0421955749469363,0.040441815143626006,-0.026180354054897336,0.04258167595281615,0.0,-0.045875925972008624,0.0,0.045875925972008624
2011-06-02,0.0,0.0,-0.04313447918611151,0.04421695494316696,0.0,-0.04071634306203855,0.043253342168155046,0.0414556187587992,-0.026836648474252853,0.043649122032270934,0.0,-0.047025952978330336,0.0,0.047025952978330336
2011-06-03,0.0,0.0,-0.04313447918611151,0.04421695494316696,0.0,-0.04071634306203855,0.043253342168155046,0.0414556187587992,-0.026836648474252853,0.043649122032270934,0.0,-0.047025952978330336,0.0,0.047025952978330336
2011-06-06,0.0,0.0,-0.04313447918611151,0.04421695494316696,0.0,-0.04071634306203855,0.043253342168155046,0.0414556187587992,-0.026836648474252853,0.043649122032270934,0.0,-0.047025952978330336,0.0,0.047025952978330336
2011-06-07,0.0,0.0,-0.04306489483442597,0.04311364570984736,0.0,0.0,0.043624865500068846,0.0,-0.02678618008507375,0.044704390054860356,-0.04433511186960763,-0.047025952978330336,0.047025952978330336,0.047025952978330336
2011-06-08,0.0,0.0,-0.04306489483442597,0.04311364570984736,0.0,0.0,0.043624865500068846,0.0,-0.02678618008507375,0.044704390054860356,-0.04433511186960763,-0.047025952978330336,0.047025952978330336,0.047025952978330336
2011-06-09,0.0,0.0,-0.04306489483442597,0.04311364570984736,0.0,0.0,0.043624865500068846,0.0,-0.02678618008507375,0.044704390054860356,-0.04433511186960763,-0.047025952978330336,0.047025952978330336,0.047025952978330336
