tdate,AEX,AS51,CAC,DAX,FTSE,HSI,IBEX,MIB,NKY,OMX,SG,SMI,SPX,TSX
2002-05-24,0.0,0.0,0.08692034986208118,0.07274029628536441,0.0,0.0,0.0,0.0,0.06576548404948036,0.0,0.0,0.0,-0.0801677118487133,-0.10148888716146953
2002-05-27,0.0,0.0,0.08692034986208118,0.07274029628536441,0.0,0.0,0.0,0.0,0.06576548404948036,0.0,0.0,0.0,-0.0801677118487133,-0.10148888716146953
2002-05-28,0.0,0.0,0.08692034986208118,0.07274029628536441,0.0,0.0,0.0,0.0,0.06576548404948036,0.0,0.0,0.0,-0.0801677118487133,-0.10148888716146953
2002-05-29,0.0,0.0,0.08692034986208118,0.07274029628536441,0.0,0.0,0.0,0.0,0.06576548404948036,0.0,0.0,0.0,-0.0801677118487133,-0.10148888716146953
2002-05-30,0.0,0.0,0.08692034986208118,0.07274029628536441,0.0,0.0,0.0,0.0,0.06576548404948036,0.0,0.0,0.0,-0.0801677118487133,-0.10148888716146953
2002-05-31,-0.09612558567374983,-0.10148888716146953,0.0,0.0,-0.10148888716146953,0.07830183885525906,0.0,0.0,0.0,0.06138142382737677,0.0,0.10148888716146953,-0.0795552996358771,0.0
2002-06-03,-0.09189553617236486,-0.09702282317315175,0.0,0.0,-0.09702282317315175,0.07485613132499361,0.0,0.0,0.0,0.05868030674772084,0.0,0.09702282317315175,-0.0760544330018944,0.0
2002-06-04,-0.09189553617236486,-0.09702282317315175,0.0,0.0,-0.09702282317315175,0.07485613132499361,0.0,0.0,0.0,0.05868030674772084,0.0,0.09702282317315175,-0.0760544330018944,0.0
2002-06-05,-0.09189553617236486,-0.09702282317315175,0.0,0.0,-0.09702282317315175,0.07485613132499361,0.0,0.0,0.0,0.05868030674772084,0.0,0.09702282317315175,-0.0760544330018944,0.0
2002-06-06,-0.09189553617236486,-0.09702282317315175,0.0,0.0,-0.09702282317315175,0.07485613132499361,0.0,0.0,0.0,0.05868030674772084,0.0,0.09702282317315175,-0.0760544330018944,0.0
2002-06-07,-0.08684547306561081,-0.09702282317315175,0.0,0.0,-0.09702282317315175,0.07753300482869892,0.0,0.0,0.0,0.06073021280645456,0.0,0.09702282317315175,-0.07663842982632342,0.0
2002-06-10,-0.08684547306561081,-0.09702282317315175,0.0,0.0,-0.09702282317315175,0.07753300482869892,0.0,0.0,0.0,0.06073021280645456,0.0,0.09702282317315175,-0.07663842982632342,0.0
