tdate,CAC,AEX,SPX,DAX,HSI,IBEX,NKY,TSX,OMX,SG,SMI,MIB,AS51,FTSE
1993-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-08,0.0,-0.04961804023502777,0.0,-0.04961804023502777,0.0,0.04961804023502777,-0.04961804023502777,-0.04961804023502777,0.04961804023502777,0.0,0.0,0.04961804023502777,0.04961804023502777,0.0
1993-07-09,0.0,-0.04961804023502777,0.0,-0.04961804023502777,0.0,0.04961804023502777,-0.04961804023502777,-0.04961804023502777,0.04961804023502777,0.0,0.0,0.04961804023502777,0.04961804023502777,0.0
1993-07-12,0.0,-0.04961804023502777,0.0,-0.04961804023502777,0.0,0.04961804023502777,-0.04961804023502777,-0.04961804023502777,0.04961804023502777,0.0,0.0,0.04961804023502777,0.04961804023502777,0.0
1993-07-13,0.0,-0.04961804023502777,0.0,-0.04961804023502777,0.0,0.04961804023502777,-0.04961804023502777,-0.04961804023502777,0.04961804023502777,0.0,0.0,0.04961804023502777,0.04961804023502777,0.0
1993-07-14,0.0,-0.04961804023502777,0.0,-0.04961804023502777,0.0,0.04961804023502777,-0.04961804023502777,-0.04961804023502777,0.04961804023502777,0.0,0.0,0.04961804023502777,0.04961804023502777,0.0
1993-07-15,0.0,-0.04961804023502777,0.0,-0.04961804023502777,0.0,0.04961804023502777,-0.04961804023502777,-0.04961804023502777,0.04961804023502777,0.0,0.0,0.04961804023502777,0.04961804023502777,0.0
1993-07-16,0.0,-0.04961804023502777,0.0,-0.04961804023502777,0.0,0.04961804023502777,-0.04961804023502777,-0.04961804023502777,0.04961804023502777,0.0,0.0,0.04961804023502777,0.04961804023502777,0.0
1993-07-19,0.0,-0.04961804023502777,0.0,-0.04961804023502777,0.0,0.04961804023502777,-0.04961804023502777,-0.04961804023502777,0.04961804023502777,0.0,0.0,0.04961804023502777,0.04961804023502777,0.0
1993-07-20,0.0,-0.04961804023502777,0.0,-0.04961804023502777,0.0,0.04961804023502777,-0.04961804023502777,-0.04961804023502777,0.04961804023502777,0.0,0.0,0.04961804023502777,0.04961804023502777,0.0
1993-07-21,0.0,-0.04961804023502777,0.0,-0.04961804023502777,0.0,0.04961804023502777,-0.04961804023502777,-0.04961804023502777,0.04961804023502777,0.0,0.0,0.04961804023502777,0.04961804023502777,0.0
1993-07-22,0.0,-0.04961804023502777,0.0,-0.04961804023502777,0.0,0.04961804023502777,-0.04961804023502777,-0.04961804023502777,0.04961804023502777,0.0,0.0,0.04961804023502777,0.04961804023502777,0.0
1993-07-23,0.0,-0.04961804023502777,0.0,-0.04961804023502777,0.0,0.04961804023502777,-0.04961804023502777,-0.04961804023502777,0.04961804023502777,0.0,0.0,0.04961804023502777,0.04961804023502777,0.0
1993-07-26,0.0,-0.04961804023502777,0.0,-0.04961804023502777,0.0,0.04961804023502777,-0.04961804023502777,-0.04961804023502777,0.04961804023502777,0.0,0.0,0.04961804023502777,0.04961804023502777,0.0
1993-07-27,0.0,-0.04690347957447408,0.0,-0.04690347957447408,0.0,0.04690347957447408,-0.04690347957447408,-0.04690347957447408,0.04690347957447408,0.0,0.0,0.04690347957447408,0.04690347957447408,0.0
1993-07-28,0.0,-0.04690347957447408,0.0,-0.04690347957447408,0.0,0.04690347957447408,-0.04690347957447408,-0.04690347957447408,0.04690347957447408,0.0,0.0,0.04690347957447408,0.04690347957447408,0.0
1993-07-29,0.0,-0.04690347957447408,0.0,-0.04690347957447408,0.0,0.04690347957447408,-0.04690347957447408,-0.04690347957447408,0.04690347957447408,0.0,0.0,0.04690347957447408,0.04690347957447408,0.0
1993-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
