,SPX,TSX,FTSE,DAX,CAC,SMI,MIB,IBEX,OMX,AEX,NKY,AS51,HSI,SG,SPXV,TSXV,FTSEV,DAXV,CACV,SMIV,MIBV,IBEXV,OMXV,AEXV,NKYv,AS51V,HSIV,SGV
2007-10-31,729.1600 ,1147.0500 ,3740.8800 ,930.9500 ,1985.9800 ,1617.5800 ,3418.6900 ,1055.2600 ,5559.8500 ,1210.5100 ,276.1400 ,2218.5800 ,11442.5300 ,957.7800 ,816.7400 ,1908.2600 ,5471.8100 ,1742.0100 ,3994.5600 ,2018.3100 ,1713.6000 ,1269.3400 ,11537.9600 ,4587.6400 ,1600.8200 ,4710.2900 ,10572.5400 ,3960.3800 
2007-11-30,702.2500 ,1060.3800 ,3669.2000 ,919.6400 ,1933.0300 ,1623.9700 ,3268.1300 ,1043.5600 ,5112.3400 ,1190.8800 ,260.2600 ,2163.6400 ,11073.7400 ,887.8700 ,774.9400 ,1803.9000 ,5062.2700 ,1669.3500 ,3843.9200 ,1908.6600 ,1673.3100 ,1241.8700 ,10693.8600 ,4101.0600 ,1514.9900 ,4493.9400 ,10152.1300 ,3614.5700 
2007-12-31,702.6600 ,1110.5700 ,3673.2600 ,951.1400 ,1933.8400 ,1566.9700 ,3230.5300 ,999.4200 ,5036.1500 ,1185.2400 ,252.1000 ,2115.3700 ,10936.3900 ,871.5700 ,760.9500 ,1763.6800 ,5100.8800 ,1675.2800 ,3778.8000 ,1832.4400 ,1655.9600 ,1221.2600 ,10512.8500 ,4152.6500 ,1461.7200 ,4325.1100 ,10349.0400 ,3628.1800 
2008-01-31,643.4500 ,1052.5100 ,3393.1300 ,813.0400 ,1670.3500 ,1422.9800 ,2872.2400 ,886.5000 ,4466.7200 ,1035.4200 ,224.0100 ,1891.3500 ,9140.9400 ,742.4500 ,732.9700 ,1698.3400 ,4589.3200 ,1409.5400 ,3291.1800 ,1636.7700 ,1477.9400 ,1031.3300 ,9009.8800 ,3606.9900 ,1355.4100 ,3857.0500 ,9622.6200 ,3153.9000 
2008-02-29,633.9700 ,1120.0500 ,3435.6700 ,798.2200 ,1709.6000 ,1440.5100 ,2798.5500 ,876.8300 ,4623.0200 ,1019.7800 ,221.8100 ,1938.0100 ,8951.3100 ,756.6600 ,692.7400 ,1689.8200 ,4528.8400 ,1404.9000 ,3198.9400 ,1468.7700 ,1437.8200 ,1026.1600 ,9249.5400 ,3633.1500 ,1330.1400 ,3587.2100 ,9356.1000 ,3237.4300 
2008-03-31,630.9500 ,1105.7400 ,3322.1400 ,766.9800 ,1701.7200 ,1392.5900 ,2757.7200 ,859.7100 ,4475.6100 ,1014.2100 ,201.8400 ,1818.9700 ,8109.9500 ,732.9100 ,687.7700 ,1670.1200 ,4412.0300 ,1374.2600 ,3114.4100 ,1368.0300 ,1322.9000 ,1060.8100 ,9261.9300 ,3575.4400 ,1209.2000 ,3556.8600 ,9005.6700 ,3374.1200 
2008-04-30,668.0700 ,1183.4000 ,3518.3200 ,822.7200 ,1775.2200 ,1424.6700 ,2839.4300 ,876.9600 ,4680.2100 ,1052.9600 ,228.8100 ,1958.8700 ,8940.2200 ,754.4800 ,712.2500 ,1715.3300 ,4727.5000 ,1409.6300 ,3328.6200 ,1537.2200 ,1447.2300 ,1134.5100 ,9186.3600 ,3747.1800 ,1353.0900 ,3637.8100 ,9512.1100 ,3544.9100 
2008-05-30,682.8000 ,1283.1900 ,3557.3300 ,843.0200 ,1845.5300 ,1475.9000 ,2686.9100 ,870.7200 ,4843.7400 ,1063.1800 ,238.8700 ,2016.0100 ,8509.4400 ,772.3500 ,711.1100 ,1771.2100 ,4600.5300 ,1376.8700 ,3283.2300 ,1358.7000 ,1431.8600 ,1106.3400 ,9134.0900 ,3736.3200 ,1389.8300 ,3578.5300 ,9710.9900 ,3483.2200 
2008-06-30,641.8400 ,1303.5100 ,3366.5100 ,780.8600 ,1619.1800 ,1390.2300 ,2358.1000 ,782.8000 ,4249.7300 ,921.0800 ,222.8200 ,1964.8700 ,7336.1100 ,703.0400 ,629.5300 ,1676.1700 ,4185.2500 ,1221.1600 ,2928.7000 ,1174.7500 ,1255.2600 ,960.8800 ,7516.8400 ,3184.0300 ,1303.0100 ,3170.0100 ,8942.1500 ,3249.9300 
2008-07-31,623.9900 ,1168.6500 ,3228.5400 ,793.5200 ,1579.5500 ,1428.0900 ,2280.0700 ,774.6200 ,4139.7800 ,869.4700 ,217.7600 ,1804.4400 ,7257.4600 ,681.4600 ,636.6100 ,1654.2800 ,4040.9800 ,1197.1600 ,2922.1200 ,1187.6800 ,1208.6600 ,958.9200 ,7650.8400 ,3173.8000 ,1293.2100 ,3113.8500 ,8786.5300 ,3342.1400 
2008-08-29,632.4700 ,1179.2700 ,3348.1000 ,784.5200 ,1610.5100 ,1435.7800 ,2327.9100 ,778.0100 ,4128.4300 ,945.4300 ,207.2800 ,1899.5700 ,6654.7900 ,632.0700 ,643.3700 ,1677.5300 ,4246.5800 ,1200.0000 ,2993.8100 ,1255.5900 ,1222.0500 ,919.2900 ,7872.8200 ,3287.5100 ,1262.1200 ,3188.8900 ,8509.3200 ,3201.3700 
2008-09-30,567.7500 ,934.6800 ,2856.4500 ,732.2200 ,1426.8300 ,1319.1500 ,2207.3300 ,729.7200 ,3547.0200 ,832.9100 ,176.7500 ,1574.2000 ,5191.3800 ,527.5600 ,593.4800 ,1554.9400 ,3761.6100 ,1025.4700 ,2704.5400 ,1143.4500 ,1056.4800 ,872.5000 ,7123.3100 ,2680.9300 ,1098.8500 ,3092.4200 ,7238.0300 ,2831.3800 
2008-10-31,473.5400 ,759.2500 ,2507.8700 ,670.2200 ,1183.1500 ,1217.7200 ,1739.9600 ,622.4500 ,2921.5300 ,792.0500 ,135.3600 ,1395.5500 ,4206.4500 ,393.4100 ,490.6400 ,1323.4500 ,3407.0500 ,798.7800 ,2368.1100 ,1011.7500 ,921.0500 ,693.1700 ,5819.5700 ,1816.2700 ,892.0300 ,2762.3500 ,5524.9900 ,2053.4100 
2008-11-28,446.0100 ,753.0700 ,2392.0900 ,572.0200 ,1133.2300 ,1175.8900 ,1608.5800 ,650.9500 ,2916.9600 ,743.8800 ,127.3400 ,1330.3400 ,3908.3000 ,392.1700 ,444.7900 ,1235.0600 ,3416.4600 ,785.4300 ,2202.3200 ,900.3200 ,873.3100 ,613.6200 ,5822.2100 ,1701.8500 ,866.3400 ,2510.7800 ,5720.6700 ,2002.1800 
2008-12-31,450.5500 ,753.5700 ,2520.3100 ,571.6300 ,1132.6200 ,1124.3700 ,1605.8400 ,671.4800 ,3051.3100 ,711.3200 ,131.7900 ,1327.7100 ,4044.0500 ,393.1900 ,447.1100 ,1140.2000 ,3458.8100 ,827.0200 ,2168.2600 ,837.8900 ,846.6200 ,633.4200 ,6000.3800 ,1781.6300 ,884.6200 ,2469.2500 ,5946.2300 ,2050.9900 
2009-01-30,428.2100 ,747.9800 ,2456.0100 ,539.8900 ,1046.8800 ,1088.1700 ,1432.8900 ,618.8800 ,3049.5100 ,726.0200 ,118.8700 ,1299.0500 ,4120.7900 ,391.5200 ,391.8200 ,1067.2900 ,3053.7000 ,717.1300 ,2022.3200 ,757.3700 ,798.8700 ,574.1400 ,5411.8500 ,1720.5900 ,836.2600 ,2276.5200 ,5903.1300 ,2014.8500 
2009-02-27,390.5800 ,688.3200 ,2293.1800 ,477.1200 ,989.4900 ,977.4900 ,1185.7200 ,609.0800 ,3142.5100 ,678.6600 ,111.4400 ,1255.3300 ,3880.5900 ,364.1600 ,338.8900 ,1013.5400 ,2760.8700 ,631.5700 ,1808.3200 ,636.6400 ,702.9600 ,457.5900 ,5705.1400 ,1415.8700 ,811.4900 ,2106.2400 ,5672.9900 ,1793.2500 
2009-03-31,420.6600 ,737.7600 ,2349.9900 ,500.6500 ,1000.6800 ,1015.2100 ,1273.6200 ,613.2900 ,2959.8300 ,673.4400 ,113.7900 ,1332.2800 ,4116.3000 ,392.1100 ,371.2400 ,1107.5000 ,2840.2200 ,672.4500 ,1900.1500 ,715.6700 ,711.5500 ,483.8300 ,5900.2400 ,1395.6000 ,829.8200 ,2302.4500 ,5747.4000 ,1892.9200 
2009-04-30,455.2700 ,773.1200 ,2463.6800 ,557.8100 ,1083.9500 ,1048.6600 ,1507.3300 ,639.2900 ,3469.5000 ,685.3900 ,120.3200 ,1399.7300 ,4888.6500 ,445.1100 ,411.2100 ,1220.8800 ,3230.5900 ,799.0800 ,2190.3100 ,896.6200 ,845.3400 ,644.3700 ,7064.4600 ,1733.2100 ,933.2200 ,2425.5900 ,6560.0200 ,2124.7100 
2009-05-29,476.4600 ,878.1500 ,2578.8500 ,570.6900 ,1108.4800 ,1072.0600 ,1589.2000 ,664.1600 ,3540.6900 ,713.9200 ,128.9500 ,1410.4700 ,5660.4500 ,528.4000 ,436.1700 ,1335.6000 ,3335.6300 ,798.9100 ,2274.2700 ,925.3700 ,881.1900 ,670.6200 ,7156.6800 ,1825.8700 ,996.5000 ,2430.2100 ,7760.1600 ,2623.7400 
2009-06-30,479.8200 ,852.7000 ,2500.8200 ,558.4000 ,1082.8900 ,1084.2500 ,1533.3900 ,685.1500 ,3637.3200 ,724.2500 ,133.0700 ,1443.9400 ,5521.3600 ,516.3700 ,432.8900 ,1375.0800 ,3186.6100 ,776.4700 ,2173.1700 ,922.3500 ,845.5600 ,713.2100 ,7234.2500 ,1780.4400 ,1020.8700 ,2547.1000 ,7675.3000 ,2665.0200 
2009-07-31,512.0900 ,854.6000 ,2703.9600 ,614.7600 ,1173.2300 ,1192.0100 ,1651.5500 ,733.1000 ,3975.2100 ,785.4900 ,137.1000 ,1531.5100 ,6408.8400 ,604.1900 ,468.3700 ,1480.7600 ,3463.9100 ,861.0500 ,2384.4300 ,1016.3900 ,905.4100 ,826.9200 ,8188.6000 ,2114.0600 ,1048.1800 ,2760.1200 ,8558.1800 ,3020.6200 
2009-08-31,520.9100 ,841.8600 ,2794.0800 ,587.4200 ,1217.1000 ,1238.6800 ,1691.1200 ,742.5100 ,4027.4300 ,809.8200 ,139.2400 ,1575.7400 ,5899.0000 ,589.0300 ,492.6800 ,1502.6200 ,3815.9000 ,926.1200 ,2574.2200 ,1134.3600 ,988.6500 ,883.2200 ,8572.8500 ,2233.0100 ,1058.2700 ,2993.8500 ,7999.5700 ,2886.8400 
2009-09-30,542.6400 ,890.1100 ,2952.2400 ,614.9900 ,1259.5400 ,1258.9000 ,1791.8600 ,781.4800 ,4054.5200 ,837.4300 ,133.8500 ,1642.8300 ,6532.3800 ,607.6400 ,507.0700 ,1555.6100 ,3950.0200 ,958.1400 ,2691.4100 ,1165.9400 ,1033.8400 ,899.4600 ,8364.2000 ,2442.2500 ,978.0100 ,3240.0800 ,8382.4800 ,2994.4700 
2009-10-30,540.9000 ,853.1400 ,2927.2000 ,593.7600 ,1227.5300 ,1254.6900 ,1758.2000 ,765.2600 ,4255.2900 ,867.1600 ,130.9900 ,1624.3500 ,6738.3500 ,594.7800 ,487.9000 ,1466.3600 ,3840.8300 ,903.5900 ,2527.2100 ,1101.3100 ,965.2200 ,880.2100 ,8888.4600 ,2212.4000 ,971.1000 ,3132.2500 ,8543.2400 ,2961.1500 
2009-11-30,570.8300 ,897.4100 ,3053.0600 ,615.6800 ,1238.1900 ,1251.2600 ,1779.3900 ,774.9300 ,4233.4200 ,864.2000 ,123.3400 ,1671.1800 ,6590.9800 ,605.0100 ,517.0200 ,1535.2200 ,3890.4800 ,931.7100 ,2585.0000 ,1093.1900 ,954.2800 ,901.9200 ,8755.9900 ,2223.6400 ,915.2200 ,3121.8900 ,8462.7900 ,3128.5600 
2009-12-31,582.3700 ,915.6600 ,3219.4300 ,652.1300 ,1312.3200 ,1309.7700 ,1928.5700 ,795.2700 ,4260.5400 ,926.5200 ,136.3300 ,1730.7000 ,6735.0800 ,647.3300 ,525.0700 ,1575.1100 ,4004.9200 ,986.6800 ,2780.4300 ,1137.3500 ,1002.2400 ,916.4400 ,8943.1300 ,2458.1700 ,980.3400 ,3224.8700 ,8632.5300 ,3317.5600 
2010-01-29,551.9300 ,847.4900 ,3086.0300 ,611.9400 ,1279.5100 ,1288.9800 ,1857.2600 ,731.8000 ,4340.5500 ,920.2800 ,133.9800 ,1604.7200 ,6246.9000 ,605.1700 ,513.8300 ,1501.6300 ,3840.0800 ,929.7000 ,2627.5800 ,1139.7600 ,941.7600 ,828.1200 ,8731.3800 ,2455.9500 ,982.2100 ,3077.8700 ,8145.3500 ,3130.8500 
2010-02-26,569.8600 ,886.3600 ,3193.3000 ,602.5700 ,1286.2900 ,1333.0500 ,1778.8700 ,714.1800 ,4297.3300 ,908.2900 ,133.0200 ,1666.3000 ,6488.6300 ,608.7500 ,526.4700 ,1576.9700 ,3948.6700 ,932.6300 ,2597.7700 ,1215.3900 ,906.6300 ,760.6000 ,8798.6400 ,2325.3800 ,971.3900 ,3086.1400 ,8450.4200 ,3165.4400 
2010-03-31,601.5700 ,897.6400 ,3442.4400 ,655.6600 ,1376.5400 ,1368.3200 ,1935.5900 ,739.4300 ,4707.8300 ,961.3900 ,145.9900 ,1764.8100 ,6910.1400 ,630.2900 ,559.0600 ,1672.2200 ,4103.7800 ,1032.7600 ,2784.6500 ,1279.4500 ,979.3800 ,798.5700 ,9319.7000 ,2589.2900 ,1062.2900 ,3218.5700 ,8794.7400 ,3283.7300 
2010-04-30,608.7100 ,923.5300 ,3326.3000 ,671.2500 ,1348.7600 ,1326.1200 ,1826.4200 ,708.6100 ,5009.9500 ,963.1000 ,147.2400 ,1689.7300 ,6696.3100 ,639.8700 ,568.9000 ,1662.8100 ,4062.9400 ,1001.9200 ,2662.7500 ,1174.0100 ,928.0400 ,777.2700 ,9351.7200 ,2596.9000 ,1062.0800 ,3228.0500 ,8562.4100 ,3426.6500 
2010-05-31,558.6600 ,888.9600 ,3154.3100 ,646.8600 ,1266.2500 ,1261.2100 ,1708.5300 ,650.5100 ,4661.8100 ,918.7500 ,130.2800 ,1559.0800 ,6169.7800 ,594.4900 ,522.3900 ,1602.3800 ,3732.2600 ,948.7800 ,2440.6000 ,1145.9200 ,831.8400 ,681.3300 ,8653.0400 ,2457.1100 ,950.7900 ,2964.8400 ,8066.1100 ,3156.2900 
2010-06-30,531.5400 ,850.0100 ,3041.9100 ,656.0400 ,1270.2600 ,1232.9200 ,1659.2800 ,642.8800 ,4705.9900 ,914.2800 ,123.9300 ,1513.3200 ,6392.0500 ,614.6900 ,491.5200 ,1538.3600 ,3448.0800 ,938.5000 ,2368.2700 ,1087.4700 ,825.6700 ,680.1900 ,8964.6600 ,2443.4200 ,906.1400 ,2865.6400 ,8242.9100 ,3259.6000 
2010-07-30,567.8500 ,877.7900 ,3229.6700 ,663.6300 ,1328.3500 ,1238.2200 ,1794.7900 ,704.6900 ,4862.3300 ,923.2700 ,127.0200 ,1580.5600 ,6789.6200 ,651.5000 ,525.5400 ,1600.6400 ,3728.2000 ,976.9100 ,2516.3000 ,1182.9200 ,900.9200 ,781.8600 ,9341.5500 ,2697.8200 ,909.1100 ,3006.3000 ,8642.1300 ,3392.4900 
2010-08-31,542.0600 ,915.8800 ,3209.4800 ,639.8300 ,1289.5200 ,1242.3900 ,1667.6200 ,701.8800 ,4779.3400 ,867.1500 ,118.6200 ,1534.9500 ,6734.2200 ,646.1000 ,499.5600 ,1574.8900 ,3704.8700 ,942.1100 ,2403.8400 ,1113.4700 ,859.7700 ,751.1000 ,8760.3700 ,2587.8400 ,871.7100 ,2958.8400 ,8863.8300 ,3299.2900 
2010-09-30,596.1700 ,941.6800 ,3422.5200 ,700.0300 ,1383.4600 ,1267.3200 ,1781.9800 ,747.2600 ,5213.5300 ,907.8600 ,125.3400 ,1611.5000 ,7672.8400 ,685.5300 ,537.2500 ,1641.3300 ,3902.7200 ,969.9600 ,2550.9500 ,1106.5000 ,882.2500 ,768.5800 ,9402.7500 ,2754.9500 ,879.9800 ,3045.0200 ,10000.4300 ,3410.6300 
2010-10-29,625.4900 ,965.6800 ,3488.0100 ,732.6400 ,1418.6300 ,1307.2300 ,1902.5500 ,776.5900 ,5162.4600 ,899.6500 ,123.2600 ,1656.6100 ,7815.2200 ,712.7600 ,550.3700 ,1668.5000 ,4013.3700 ,1034.8600 ,2644.5500 ,1127.8000 ,915.6600 ,784.8300 ,9521.5300 ,2788.9400 ,866.2300 ,3054.4400 ,10200.5300 ,3373.8200 
2010-11-30,627.1400 ,988.6700 ,3411.7600 ,754.3700 ,1368.7400 ,1286.2600 ,1808.3000 ,709.4100 ,5438.9800 ,885.8600 ,131.0500 ,1645.8900 ,7938.0600 ,710.4100 ,546.3300 ,1689.4500 ,3875.4900 ,1038.2800 ,2473.7300 ,1055.7800 ,806.4900 ,651.4100 ,9369.4800 ,2581.9600 ,918.3500 ,2951.0100 ,10400.5300 ,3413.3700 
2010-12-31,659.1300 ,1039.3800 ,3647.0000 ,779.8200 ,1426.3000 ,1301.4400 ,1971.6400 ,737.5100 ,5723.1300 ,951.1200 ,135.6800 ,1714.6100 ,7918.4700 ,733.4600 ,590.2300 ,1735.6700 ,4119.1800 ,1082.1500 ,2628.6900 ,1094.4100 ,838.0900 ,694.0600 ,9834.7700 ,2785.8400 ,961.3600 ,3026.1400 ,10580.1800 ,3406.6700 
2011-01-31,668.6600 ,1049.3000 ,3565.1100 ,779.3600 ,1443.0000 ,1294.3000 ,2103.3200 ,772.9100 ,5502.2600 ,935.3000 ,137.1500 ,1694.7800 ,8094.9200 ,711.0800 ,608.6400 ,1751.6000 ,4210.0400 ,1119.1300 ,2808.3500 ,1122.8900 ,919.9000 ,775.2000 ,10138.0500 ,2994.1100 ,972.7900 ,3091.9700 ,10760.7700 ,3485.0500 
2011-02-28,688.6600 ,1093.4200 ,3644.6400 ,805.9700 ,1491.2600 ,1325.0700 ,2130.3200 ,759.4800 ,5414.8900 ,950.7600 ,142.0200 ,1728.7900 ,7919.0800 ,672.5400 ,629.3800 ,1833.1900 ,4313.2900 ,1142.9300 ,2873.0800 ,1138.6700 ,942.0500 ,778.6500 ,9914.7300 ,3131.5000 ,1026.2200 ,3135.9300 ,10236.5000 ,3274.2500 
2011-03-31,689.7100 ,1072.7000 ,3615.1700 ,788.7100 ,1471.2200 ,1286.1200 ,2086.2500 ,781.9900 ,5568.7000 ,946.7800 ,131.6800 ,1741.0200 ,7893.9200 ,705.4400 ,627.0700 ,1853.5300 ,4209.4500 ,1098.6600 ,2769.2200 ,1082.0000 ,908.5100 ,741.4400 ,9809.6200 ,3091.6200 ,916.1400 ,3119.4000 ,10452.1100 ,3376.1600 
2011-04-29,712.3400 ,1058.4800 ,3697.3400 ,832.1300 ,1528.5600 ,1339.3200 ,2145.6900 ,813.6400 ,5758.0900 ,911.9200 ,130.1500 ,1716.2100 ,8165.3300 ,716.6000 ,642.1900 ,1823.7500 ,4343.1200 ,1164.5300 ,2830.5500 ,1081.5100 ,940.0700 ,762.4700 ,10018.7900 ,3065.5200 ,894.7000 ,3161.8500 ,10514.0500 ,3442.2900 
2011-05-31,707.8400 ,1037.8300 ,3641.0700 ,812.5800 ,1519.0600 ,1340.5200 ,2044.4600 ,812.4200 ,5683.7700 ,905.9700 ,128.4200 ,1697.4600 ,8084.9200 ,693.4500 ,628.7500 ,1818.0700 ,4303.4100 ,1084.7300 ,2744.5800 ,1073.0900 ,882.5700 ,725.2800 ,9927.9800 ,2945.0500 ,879.0600 ,3011.8100 ,10624.0200 ,3436.8700 
2011-06-30,698.0200 ,997.5100 ,3627.0100 ,822.9100 ,1520.3400 ,1271.9100 ,1924.0100 ,806.0800 ,5526.2800 ,874.5500 ,128.4400 ,1650.5900 ,7715.4900 ,672.7800 ,614.3900 ,1762.8900 ,4248.4400 ,1094.5400 ,2713.4500 ,1004.0100 ,848.6200 ,715.8200 ,9507.0900 ,2826.9300 ,893.4100 ,2987.5300 ,10265.7500 ,3392.8400 
2011-07-29,693.2800 ,975.9100 ,3521.7500 ,810.5700 ,1435.2100 ,1193.1100 ,1835.9800 ,777.2300 ,5222.9200 ,869.1900 ,127.2200 ,1590.4900 ,7887.4400 ,680.6000 ,591.6700 ,1682.3500 ,4194.6500 ,1046.6300 ,2482.3000 ,929.4000 ,766.9700 ,658.9200 ,9151.4400 ,2601.7800 ,882.7400 ,2816.0400 ,10487.8100 ,3529.7700 
2011-08-31,658.9500 ,964.6500 ,3295.8100 ,680.5800 ,1317.1800 ,1142.0700 ,1522.6600 ,728.7500 ,4662.3300 ,812.3600 ,114.5800 ,1522.2200 ,7377.5800 ,601.2400 ,553.3800 ,1658.4700 ,3851.9000 ,825.5900 ,2163.2300 ,884.2000 ,658.2900 ,594.7500 ,8124.6000 ,2197.4300 ,811.3900 ,2774.6500 ,9805.8200 ,3183.0100 
2011-09-30,614.5300 ,851.7300 ,3073.5500 ,635.5700 ,1195.8600 ,1110.9000 ,1349.2600 ,734.6800 ,4326.1500 ,810.5300 ,111.5000 ,1390.5300 ,6061.2200 ,547.3600 ,511.0200 ,1563.4400 ,3763.1900 ,790.8600 ,1988.7600 ,921.2400 ,636.9100 ,581.8100 ,7837.2000 ,2027.5600 ,805.0400 ,2656.6200 ,8252.3200 ,3026.0500 
2011-10-31,678.8200 ,912.9900 ,3304.4100 ,714.9600 ,1304.2000 ,1169.2500 ,1484.0800 ,771.0700 ,4778.5900 ,865.9100 ,114.2400 ,1473.9900 ,6940.6300 ,601.0700 ,567.8700 ,1612.8300 ,4090.5800 ,877.4300 ,2151.9300 ,937.5900 ,693.6700 ,605.2500 ,8379.3000 ,2272.2600 ,800.3600 ,2877.6300 ,9062.3800 ,3118.1900 
2011-11-30,676.2600 ,915.7500 ,3272.0300 ,712.6300 ,1274.3800 ,1167.4400 ,1495.0800 ,753.4900 ,4753.1900 ,860.9300 ,108.6600 ,1413.4500 ,6406.9500 ,558.4600 ,564.1900 ,1590.8600 ,4063.1400 ,867.6000 ,2083.6700 ,906.1700 ,655.1500 ,563.3400 ,8214.9800 ,2138.2700 ,760.9400 ,2741.3600 ,8408.5700 ,2958.7200 
2011-12-30,677.6300 ,868.7400 ,3299.3600 ,689.0400 ,1265.2900 ,1211.2200 ,1458.0100 ,761.5800 ,4783.6600 ,913.0300 ,107.2700 ,1375.3100 ,6487.7000 ,556.4400 ,573.2600 ,1600.1900 ,4130.9600 ,842.5500 ,2099.3300 ,958.8700 ,653.4200 ,573.6400 ,8255.1600 ,2168.0400 ,767.9900 ,2734.1300 ,8576.8500 ,2860.3200 
2012-01-31,704.9700 ,907.7100 ,3357.9100 ,756.4400 ,1341.2100 ,1241.0300 ,1556.6500 ,749.9900 ,5055.1400 ,898.6700 ,110.3700 ,1465.4800 ,7063.2100 ,613.9600 ,600.4500 ,1661.4200 ,4212.5900 ,917.0200 ,2176.1600 ,940.4100 ,685.0300 ,571.7100 ,8602.1700 ,2306.7900 ,800.6700 ,2829.2300 ,9410.7500 ,3186.5200 
2012-02-29,734.6400 ,911.7900 ,3495.3600 ,801.6200 ,1416.6500 ,1275.3200 ,1604.5600 ,749.7100 ,5378.9200 ,930.0200 ,122.7300 ,1471.0400 ,7668.6600 ,629.5100 ,623.7600 ,1707.0800 ,4319.3500 ,973.7000 ,2266.9000 ,960.6400 ,702.9500 ,568.2600 ,9267.4100 ,2318.9500 ,894.5300 ,2834.7500 ,10212.7900 ,3360.9100 
2012-03-30,757.2800 ,884.0600 ,3450.4400 ,814.0900 ,1448.2100 ,1293.7700 ,1586.0500 ,733.5900 ,5296.5700 ,960.6600 ,126.5600 ,1451.1300 ,7403.7800 ,628.0400 ,643.6800 ,1695.7000 ,4231.5800 ,984.4600 ,2215.7400 ,987.7200 ,685.0800 ,528.2600 ,8975.3400 ,2306.8600 ,903.6300 ,2930.3700 ,9586.5900 ,3383.2100 
2012-04-30,756.3400 ,871.8500 ,3436.5800 ,798.0400 ,1409.1500 ,1276.2600 ,1484.4700 ,662.3800 ,5250.2400 ,962.3000 ,119.5200 ,1454.6400 ,7344.4800 ,613.7700 ,634.0800 ,1690.6700 ,4195.6800 ,933.7800 ,2038.2600 ,951.0200 ,624.9100 ,453.6600 ,8775.1400 ,2075.4600 ,844.0900 ,3005.3700 ,9763.3100 ,3359.0800 
2012-05-31,713.2000 ,829.5200 ,3196.5000 ,733.1500 ,1339.7500 ,1211.4200 ,1288.0200 ,593.7100 ,4797.4600 ,920.1100 ,107.4800 ,1347.7400 ,6548.8700 ,559.9600 ,590.0900 ,1551.8300 ,3891.4900 ,843.8200 ,1884.4800 ,919.9600 ,555.8500 ,389.5800 ,8089.9900 ,1959.7600 ,750.3900 ,2787.2500 ,8754.2900 ,3158.5900 
2012-06-29,738.1900 ,834.7900 ,3316.2200 ,732.5200 ,1377.1500 ,1253.3800 ,1348.0200 ,685.0800 ,4911.0300 ,965.7100 ,114.4400 ,1325.1700 ,6711.6400 ,582.5400 ,616.6900 ,1572.1700 ,4120.3900 ,877.0000 ,2037.5400 ,953.3400 ,624.0800 ,459.7300 ,8522.7000 ,2078.9400 ,804.9900 ,2893.0800 ,9255.4100 ,3309.6000 
2012-07-31,751.0200 ,828.2000 ,3368.0100 ,788.6500 ,1414.5900 ,1330.9200 ,1415.6800 ,712.3100 ,5137.5100 ,1039.5300 ,109.7100 ,1356.8600 ,6841.2700 ,611.2100 ,620.9000 ,1594.5000 ,4153.3500 ,910.2600 ,2103.1200 ,993.6800 ,596.2100 ,424.9400 ,8921.0200 ,2191.3700 ,766.4700 ,3088.9400 ,9712.3200 ,3525.0400 
2012-08-31,766.2500 ,853.5800 ,3375.8000 ,797.5800 ,1447.6300 ,1321.2500 ,1453.1500 ,734.0400 ,4992.9800 ,1021.6100 ,110.5900 ,1371.8100 ,6843.7700 ,611.0200 ,632.7700 ,1624.4000 ,4250.6000 ,949.8400 ,2191.3500 ,1000.0100 ,655.6800 ,477.6900 ,8764.4600 ,2304.5400 ,752.3400 ,3116.3000 ,9795.1400 ,3450.6100 
2012-09-28,781.5200 ,885.3000 ,3375.2800 ,829.6400 ,1422.1100 ,1334.4000 ,1438.1600 ,786.0200 ,5126.4500 ,1013.5600 ,111.2200 ,1402.0600 ,7269.2800 ,619.0900 ,651.4400 ,1665.6300 ,4294.6800 ,978.6200 ,2177.4400 ,1026.0600 ,655.6900 ,491.0300 ,9038.9400 ,2283.8900 ,758.5300 ,3141.6200 ,10641.9500 ,3491.7600 
2012-10-31,758.8100 ,891.9300 ,3375.2300 ,837.0000 ,1437.3900 ,1348.1200 ,1451.2800 ,806.1800 ,5134.3600 ,1031.7600 ,111.9900 ,1435.7400 ,7532.2300 ,608.3600 ,645.8200 ,1688.0400 ,4355.7200 ,987.7900 ,2234.1600 ,1051.7600 ,674.9500 ,497.2500 ,8760.1000 ,2359.3700 ,765.8400 ,3248.8200 ,10571.2900 ,3407.4400 
2012-11-30,763.7100 ,861.8100 ,3442.1200 ,881.0800 ,1511.3700 ,1404.8600 ,1454.4400 ,816.9000 ,5327.0700 ,1064.3300 ,118.5600 ,1441.5500 ,7752.2200 ,613.4400 ,644.9100 ,1704.4300 ,4399.1900 ,982.0300 ,2293.4800 ,1077.2100 ,687.6700 ,503.9700 ,9043.7600 ,2405.7700 ,806.9400 ,3218.2400 ,10875.1400 ,3488.8500 
2012-12-31,761.3300 ,874.8900 ,3429.3300 ,898.0400 ,1536.1400 ,1404.1300 ,1451.4200 ,833.8400 ,5413.7300 ,1074.0400 ,128.9900 ,1496.9500 ,7804.5100 ,633.0400 ,657.3700 ,1730.3500 ,4463.8900 ,1015.1700 ,2346.9600 ,1081.5000 ,708.8600 ,519.1000 ,9231.1600 ,2452.5700 ,902.1300 ,3306.1900 ,10990.3500 ,3570.1100 
