,BOND,CANA,BUND,GILT,JGB
33743,47.9844 ,50.7100 ,53.3100 ,50.7900 ,62.4100 
33744,47.7969 ,50.4700 ,53.5000 ,51.0300 ,62.5400 
33745,47.4375 ,50.3400 ,53.4100 ,51.0200 ,62.4700 
33746,47.5469 ,50.5200 ,53.6000 ,51.1900 ,62.3600 
33749,47.5469 ,50.5200 ,53.5600 ,51.1900 ,62.3700 
33750,47.1563 ,50.3900 ,53.4900 ,51.0200 ,62.3000 
33751,47.2500 ,50.4300 ,53.4300 ,51.0500 ,62.0900 
33752,47.4375 ,50.4800 ,53.4300 ,51.1600 ,62.1600 
33753,47.6094 ,50.5800 ,53.5400 ,51.1000 ,62.3700 
33756,47.3906 ,50.4100 ,53.4300 ,50.9500 ,62.4900 
33757,47.5781 ,50.5100 ,53.3700 ,50.8900 ,62.3900 
33758,47.6250 ,50.6400 ,53.3000 ,50.3300 ,62.4600 
33759,47.6094 ,50.7500 ,53.4100 ,50.2800 ,62.4600 
33760,47.7344 ,50.9900 ,53.4900 ,50.1600 ,62.4600 
33763,47.7500 ,50.9800 ,53.4900 ,49.9200 ,62.3500 
33764,47.6563 ,50.8500 ,53.6700 ,49.9500 ,62.3800 
33765,47.6406 ,50.7600 ,53.6600 ,50.0000 ,62.4000 
33766,47.7188 ,51.1300 ,53.6800 ,50.0800 ,62.4500 
