,BO,C,CL,CT,GC,HG,KC,NG,S,SB,SI,SM,W,XBW
1992-02-13,-0.0021042228,-0.004730344,0.021276593,-0.024136007,-0.006396055,0.0025581121,-0.019844115,-0.018485963,0.00032889843,0.010075569,-0.0023735762,0.0005791187,-0.005300343,0.010687828
1992-02-14,0.004217148,-0.0019011497,-0.011178911,0.004684329,-0.0061572194,0.0049067736,-0.00072312355,-0.032287,-0.0031787753,0.0,-0.010706663,-0.0040509105,0.011249304,-0.019614577
1992-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-02-18,0.009973764,0.0047619343,-0.06928164,-0.0041028857,-0.0011264086,-0.0014648438,-0.037318528,-0.017857134,0.0070376396,0.06982541,-0.024049997,0.0069726706,-0.036299765,-0.04175359
1992-02-19,0.011434436,0.0028436184,0.024083138,0.010861397,-0.00056391954,-0.01281172,0.009332418,0.0181818,0.00840795,-0.0139859915,-0.000739336,0.00057697296,0.00060749054,0.013435006
1992-02-20,0.0035972595,-0.00094515085,0.0016034842,-0.0066691637,0.00056421757,0.0060431957,0.022759557,0.013392806,0.00075793266,0.0,0.016769528,0.0040370226,0.013964772,-0.005732715
1992-02-21,0.0025601387,-0.0018921494,-0.0042689443,0.00054085255,-0.0062024593,-0.004529834,-0.032684267,0.044933915,-0.0017312169,-0.036643088,-0.0060635805,0.002871871,-0.0047904253,-0.015495479
1992-02-24,0.014300346,-0.00094789267,-0.012325823,0.0014414787,-0.0039716363,0.010386825,-0.039539874,-0.0092749,0.005853057,-0.0036809444,-0.0012201071,0.003436327,-0.017448843,-0.01720351
1992-02-25,-0.006448388,-0.007386863,0.002712965,0.028247595,-0.0014240742,-0.0018674731,0.017964005,0.004255295,-0.0029711127,0.0036945343,-0.0060575604,-0.0044944286,-0.004935205,-0.0015439987
1992-02-26,-0.012481272,-0.0027906895,-0.0010823011,-0.0033246279,0.00057041645,0.013293982,0.016176462,0.0,-0.011068523,-0.024539828,-0.0017066002,-0.007900655,0.017978907,0.008419156
1992-02-27,-0.00455004,0.0046641827,0.015709639,-0.006320238,0.011972666,0.0037901402,0.0007236004,-0.020338953,0.002152443,0.00377357,0.01098907,-0.00056886673,-0.009744227,0.025217295
1992-02-28,0.016251922,0.015784621,-0.003733337,0.0017668009,-0.0025351644,-0.00096815825,0.025307298,0.012975812,0.012457013,0.0050126314,-0.0012076497,0.006829858,-0.015990138,-0.00565058
1992-03-02,0.0069965124,0.00914073,-0.018201292,0.01022923,-0.004518509,-0.0076557994,0.008462548,-0.003415823,0.0046669245,0.0024937391,0.0031437874,0.009610057,0.004374981,-0.018051147
1992-03-03,-0.006451547,-0.0036231875,0.01635766,-0.0036661625,-0.0031206012,-0.0025390983,0.020279646,0.0,-0.004222989,0.02860701,-0.0031339526,-0.0027995706,-0.0280025,0.005276561
1992-03-04,0.033466578,0.0,-0.0005365014,-0.021552444,0.00056922436,0.0029371977,-0.039067864,0.02056551,0.016115308,-0.0048368573,0.0019346476,0.008983612,0.001280427,0.0093125105
1992-03-05,0.00048339367,0.00090909004,-0.004294157,-0.013252199,0.0019907951,-0.006833315,-0.024251044,-0.009235978,-0.0033388734,-0.013365686,0.005310178,-0.008903682,0.0076726675,-0.0048649907
1992-03-06,0.020289898,0.0018165112,-0.0021562576,-0.019419253,-0.005676985,-0.005799055,0.03874266,-0.012711883,0.006700158,0.0,0.0043218136,-0.0011230111,-0.0031725764,-0.026803792
1992-03-09,0.0004733801,0.010879397,0.008643985,0.015361905,-0.0017127395,-0.0025704503,-0.007037282,0.012875557,-0.0012479424,0.014778256,0.0011953115,-0.0028105974,0.02673459,-0.0045036674
1992-03-10,-0.008991897,-0.009865463,0.0010712147,-0.007655859,0.00028586388,0.011497736,0.0042521954,0.0067796707,-0.0066639185,0.018203974,-0.0035817623,-0.0011273623,-0.0074395537,0.0090482235
1992-03-11,0.011461258,-0.0018116236,-0.01016587,-0.011572301,0.0045740604,-0.008329332,0.023288608,-0.0033669472,0.00377357,-0.0023838282,0.00047934055,-0.002821684,-0.015615225,-0.00034487247
1992-03-12,-0.0136922,-0.006352067,0.017837882,0.01468122,-0.009675562,-0.0034585,0.006896496,0.010979772,-0.009189665,-0.0011947751,-0.014850378,-0.0045274496,-0.009517789,0.011385202
1992-03-13,0.009095311,-0.0082191825,0.01858735,-0.0056776404,-0.0020115376,0.002379775,0.012328744,0.0125312805,0.005059004,-0.0059807897,0.0029176474,0.0039795637,-0.013452888,0.012280345
1992-03-16,-0.01660341,-0.008287311,-0.0015641451,0.019524693,-0.009789765,-0.0019783974,-0.006765902,0.012376189,-0.005872488,0.014440417,-0.009212136,0.0011324883,-0.0025973916,0.0112890005
1992-03-17,-0.008200705,0.0027855635,0.0036306381,-0.007407427,-0.009595752,0.010010958,-0.0074932575,0.014669895,0.0046412945,-0.011862457,-0.0041594505,0.002262354,0.008463502,0.0023325682
1992-03-18,-0.0058365464,0.0055555105,-0.007235229,0.016563535,-0.005284846,0.0003925562,0.011667848,0.0016064644,0.0025199652,0.009603858,-0.0044226646,0.009593606,-0.0019367337,-0.02210766
1992-03-19,-0.008317053,-0.0018416047,0.013534665,0.014145017,0.0008854866,0.0,0.01221168,0.0048115253,0.0037704706,0.0023782253,0.022211313,0.015092254,0.0058214664,0.008329034
1992-03-20,-0.024173617,-0.0027675033,-0.019517183,-0.00017654896,-0.0017694235,-0.011183023,-0.006702423,0.011971235,-0.02253759,0.0011861324,-0.0024143457,-0.0132158995,0.001286149,-0.031018198
