,BO,C,CL,CT,GC,HG,KC,NG,S,SB,SI,SM,W,XBW
1994-12-22,27.89,229.5,17.09,86.18,382.9,135.25,171.75,1.639,563.75,14.96,4.81,161.0,399.75,51.96
1994-12-23,28.89,231.25,17.35,88.18,382.3,134.5,172.45,1.639,567.5,15.02,4.807,159.9,404.75,51.87
1994-12-26,28.89,231.25,17.35,88.18,382.3,134.5,172.45,1.639,567.5,15.02,4.807,159.9,404.75,51.87
1994-12-27,28.26,232.5,17.64,89.6,383.3,135.45,172.4,1.694,576.75,15.11,4.827,161.9,408.25,52.52
1994-12-28,28.0,233.25,17.79,89.4,385.3,137.9,174.2,1.685,572.25,14.91,4.93,161.9,407.0,53.25
1994-12-29,28.25,231.5,17.72,89.86,384.1,138.05,173.85,1.686,568.25,14.89,4.902,160.4,403.0,53.47
1994-12-30,28.27,231.0,17.76,90.35,384.4,138.6,168.85,1.725,561.5,15.17,4.917,156.8,401.5,53.78
1995-01-02,28.27,231.0,17.76,90.35,384.4,138.6,168.85,1.725,561.5,15.17,4.917,156.8,401.5,53.78
1995-01-03,27.75,228.5,17.44,88.35,380.9,133.7,167.75,1.683,557.75,15.39,4.762,156.8,395.5,52.75
1995-01-04,27.9,228.75,17.48,90.12,375.3,132.7,168.0,1.617,558.5,15.61,4.635,156.8,398.0,53.43
1995-01-05,27.93,230.75,17.72,88.83,376.6,134.8,172.55,1.552,558.5,15.61,4.732,156.5,396.25,54.51
1995-01-06,27.53,231.75,17.67,88.58,372.2,136.3,174.95,1.499,558.5,15.74,4.652,157.2,394.5,53.77
1995-01-09,27.15,232.75,17.4,89.27,374.0,139.05,169.1,1.454,557.5,15.45,4.69,158.1,383.25,53.9
1995-01-10,26.81,232.25,17.37,89.48,375.1,139.3,169.0,1.439,560.0,15.42,4.685,158.9,385.75,53.66
1995-01-11,27.03,232.5,17.72,89.97,377.3,137.6,164.7,1.437,559.75,15.18,4.735,158.8,385.75,54.54
1995-01-12,27.06,234.25,17.72,91.43,381.4,138.0,167.7,1.343,557.5,15.21,4.862,157.8,383.5,54.92
1995-01-13,26.66,234.0,17.52,90.94,379.3,137.95,169.8,1.323,556.5,14.26,4.822,157.9,379.75,55.0
1995-01-16,26.29,234.5,17.88,88.94,378.3,135.65,168.45,1.39,556.5,14.02,4.827,158.5,381.75,56.88
1995-01-17,26.67,235.5,18.22,89.95,380.6,138.85,170.3,1.434,558.75,14.42,4.877,160.2,384.25,57.8
1995-01-18,26.78,234.75,18.51,91.82,382.6,139.6,174.25,1.335,555.25,14.67,4.897,158.6,379.75,59.48
1995-01-19,26.74,234.25,18.36,93.11,383.6,142.7,172.35,1.359,552.25,14.78,4.9,158.5,370.25,58.12
1995-01-20,26.31,233.5,18.42,92.33,385.4,141.4,169.85,1.425,551.5,15.13,4.917,160.8,371.25,57.4
1995-01-23,26.68,233.0,18.1,91.53,381.4,140.35,169.55,1.389,552.75,14.93,4.82,158.9,374.75,56.38
1995-01-24,26.47,233.25,18.39,92.35,381.8,141.7,166.6,1.385,553.5,14.8,4.837,159.9,373.5,57.6
1995-01-25,26.41,233.25,18.39,92.35,380.9,138.35,165.4,1.361,553.0,14.53,4.79,159.7,372.0,57.25
1995-01-26,26.66,233.0,18.24,93.18,381.7,139.95,167.0,1.382,553.75,14.46,4.795,159.6,365.75,57.44
1995-01-27,26.93,232.25,17.95,94.21,376.8,138.2,161.65,1.391,553.75,14.37,4.675,158.4,365.5,56.07
1995-01-30,26.9,229.5,18.09,94.35,379.4,137.6,157.45,1.378,549.0,14.37,4.73,157.1,368.5,55.28
1995-01-31,26.7,229.5,18.39,93.47,377.7,136.3,155.5,1.354,547.5,14.12,4.663,156.2,373.5,56.53
1995-02-01,26.48,231.0,18.52,92.1,378.7,132.2,155.75,1.39,546.5,14.25,4.67,154.5,370.5,56.77
1995-02-02,26.81,231.75,18.54,94.1,379.1,133.7,158.2,1.435,549.5,14.44,4.712,154.5,376.75,55.95
1995-02-03,26.45,232.5,18.78,92.14,378.8,131.25,154.35,1.482,546.75,14.35,4.672,154.4,372.25,57.35
1995-02-06,26.68,235.75,18.59,91.92,378.3,131.8,153.9,1.538,550.5,13.74,4.705,155.0,369.75,57.3
1995-02-07,26.62,233.75,18.46,90.28,377.3,129.45,154.0,1.421,548.5,13.86,4.662,154.8,373.25,56.99
1995-02-08,26.66,233.75,18.3,89.69,378.3,130.1,156.85,1.438,552.75,13.92,4.717,155.1,368.5,56.1
1995-02-09,26.89,233.75,18.24,91.45,378.8,131.55,158.9,1.489,554.25,14.07,4.757,154.4,369.5,55.84
1995-02-10,27.28,234.5,18.46,90.99,378.4,134.4,162.75,1.47,557.75,14.25,4.757,154.9,376.5,55.64
1995-02-13,27.3,234.0,18.27,92.99,377.9,132.75,162.2,1.39,555.75,14.28,4.725,154.2,371.75,55.56
1995-02-14,27.62,234.75,18.32,94.9,378.4,134.2,166.55,1.392,558.5,14.52,4.755,154.2,371.25,56.16
1995-02-15,27.88,234.25,18.42,94.96,378.6,133.45,166.95,1.386,558.0,14.4,4.727,153.4,366.25,56.22
1995-02-16,27.78,233.25,18.59,95.95,378.6,134.6,163.3,1.399,556.5,14.58,4.725,153.1,366.75,57.91
1995-02-17,27.44,232.75,18.91,96.48,380.6,133.35,169.6,1.419,555.0,14.8,4.77,153.8,366.75,58.76
1995-02-20,27.44,232.75,18.91,96.48,380.6,133.35,169.6,1.419,555.0,14.8,4.77,153.8,366.75,58.76
1995-02-21,27.4,232.25,18.64,97.56,380.6,133.4,170.0,1.393,557.0,14.79,4.738,154.6,360.5,59.11
1995-02-22,27.24,232.5,18.63,98.34,381.5,131.45,169.35,1.428,557.5,14.65,4.835,155.0,360.75,59.84
1995-02-23,27.16,233.5,18.43,97.35,381.0,132.35,169.6,1.46,557.5,14.98,4.803,157.2,361.5,58.36
1995-02-24,27.64,233.25,18.69,98.17,378.2,132.75,174.55,1.469,558.0,15.05,4.627,155.1,361.75,58.76
1995-02-27,26.6,241.75,18.66,100.17,378.0,131.05,183.85,1.43,565.75,14.48,4.54,157.9,352.5,59.29
1995-02-28,26.47,242.0,18.49,102.17,378.3,128.55,181.25,1.483,564.75,14.42,4.565,157.7,347.25,58.57
1995-03-01,26.6,242.5,18.32,104.17,376.2,131.0,186.65,1.483,563.5,14.73,4.422,156.2,348.5,56.74
1995-03-02,26.86,242.25,18.35,102.17,378.0,131.65,182.65,1.481,563.75,14.66,4.442,155.9,345.75,55.59
1995-03-03,26.87,240.5,18.63,104.17,377.8,132.75,179.8,1.448,564.75,14.59,4.42,156.7,344.5,55.94
1995-03-06,27.82,243.75,18.59,106.17,380.2,131.9,179.75,1.431,574.25,14.55,4.503,157.9,350.0,56.21
1995-03-07,27.58,245.0,18.63,107.25,385.4,132.9,179.65,1.432,578.25,14.35,4.695,160.8,356.0,56.78
1995-03-08,27.3,244.5,18.33,109.15,380.9,134.2,181.35,1.449,573.25,14.15,4.562,159.4,353.25,55.83
1995-03-09,27.47,244.75,18.02,108.7,382.4,133.8,183.25,1.442,574.25,14.34,4.625,159.3,350.0,54.35
1995-03-10,27.15,245.25,17.91,109.6,383.1,133.8,187.75,1.463,572.25,14.39,4.608,159.1,341.5,52.47
1995-03-13,27.49,247.5,18.19,109.51,386.1,134.9,182.15,1.456,578.0,14.56,4.735,160.5,342.75,53.81
1995-03-14,26.97,247.25,17.94,109.36,386.7,134.8,182.4,1.47,578.25,14.3,4.72,163.3,344.75,52.79
1995-03-15,26.97,248.5,18.11,109.09,387.2,133.9,178.8,1.506,585.75,13.87,4.762,166.0,349.5,54.04
1995-03-16,26.23,247.0,18.16,109.0,385.6,134.45,171.2,1.62,582.25,13.88,4.76,166.5,345.5,54.93
1995-03-17,26.42,247.25,18.26,107.0,384.2,134.25,169.15,1.566,588.25,13.89,4.735,169.6,347.5,55.37
1995-03-20,26.7,246.5,18.47,105.0,383.5,134.95,168.5,1.523,587.0,14.11,4.702,169.1,355.5,56.15
1995-03-21,26.7,245.75,18.41,105.6,382.8,134.4,171.45,1.623,582.75,13.95,4.605,167.0,351.25,56.15
1995-03-22,26.32,245.75,18.96,106.3,383.5,138.3,169.55,1.664,580.0,14.1,4.67,167.4,359.0,57.9
1995-03-23,26.71,247.25,18.92,104.3,384.3,138.0,165.65,1.69,579.75,14.18,4.695,166.3,353.0,57.53
1995-03-24,26.55,246.75,18.78,102.3,382.7,138.9,167.6,1.644,578.5,14.18,4.622,166.5,351.25,57.82
1995-03-27,26.63,248.25,19.07,100.3,382.3,138.75,167.7,1.657,576.75,14.2,4.625,165.5,349.5,58.6
1995-03-28,26.29,249.25,19.05,98.3,385.5,137.8,167.5,1.635,577.5,14.48,4.757,165.9,348.0,58.12
1995-03-29,26.0,248.75,19.22,96.3,385.0,137.3,167.25,1.659,574.5,14.23,4.775,165.8,347.5,58.96
1995-03-30,25.94,249.0,19.15,96.63,388.6,138.55,164.05,1.687,573.0,14.32,5.237,166.2,345.75,58.97
1995-03-31,25.64,250.0,19.17,98.15,394.3,136.7,166.3,1.685,574.0,14.28,5.31,167.4,343.25,58.23
1995-04-03,25.54,253.25,19.03,96.22,394.9,138.4,165.45,1.681,582.25,14.39,5.3,172.5,345.75,57.44
1995-04-04,25.51,252.0,19.18,98.22,395.1,137.25,165.1,1.694,581.75,14.27,5.297,172.4,348.5,58.56
1995-04-05,25.68,250.75,19.56,100.22,397.2,137.25,167.45,1.654,581.75,13.88,5.405,171.5,352.75,60.48
1995-04-06,25.94,249.75,19.77,102.22,397.4,136.55,166.8,1.636,580.0,14.04,5.42,170.3,349.75,61.68
1995-04-07,26.35,250.0,19.67,104.22,395.7,137.4,167.1,1.623,585.0,14.01,5.392,170.4,345.25,61.29
1995-04-10,26.32,251.5,19.59,106.22,392.6,136.55,167.0,1.597,584.5,13.7,5.255,170.4,349.5,61.22
1995-04-11,26.43,252.0,19.88,108.22,393.0,136.15,165.45,1.623,589.5,13.37,5.343,171.4,358.5,61.59
1995-04-12,25.98,250.25,19.55,110.22,392.7,135.15,165.65,1.621,586.75,13.28,5.337,170.8,354.5,61.37
1995-04-13,25.66,246.75,19.15,112.22,392.4,135.5,162.65,1.619,575.5,12.65,5.382,167.4,353.5,60.44
1995-04-14,25.66,246.75,19.15,112.22,392.4,135.5,162.65,1.619,575.5,12.65,5.382,167.4,353.5,60.44
1995-04-17,25.65,245.0,19.67,110.22,396.5,135.8,166.35,1.656,574.5,12.6,5.725,166.7,350.5,62.03
1995-04-18,25.21,243.75,19.9,109.5,397.8,134.7,168.35,1.679,569.0,12.75,5.865,165.3,353.0,63.69
1995-04-19,25.17,244.25,20.03,111.5,397.4,129.4,172.8,1.717,566.0,12.82,5.795,163.3,350.5,63.15
1995-04-20,25.34,246.0,20.19,113.5,394.7,130.0,173.15,1.694,569.25,13.09,5.692,164.7,351.75,63.22
1995-04-21,25.44,246.75,20.41,105.8,392.7,131.65,176.3,1.672,566.0,13.24,5.68,163.5,350.75,63.2
1995-04-24,25.63,247.0,20.12,107.45,393.1,128.25,178.3,1.713,569.5,12.99,5.665,164.0,352.0,62.21
1995-04-25,25.37,255.25,20.29,106.05,392.3,124.2,178.35,1.685,580.25,11.43,5.783,168.4,354.0,61.72
1995-04-26,25.27,256.0,20.15,104.05,388.0,125.05,177.45,1.668,577.0,11.47,5.634,167.6,353.25,61.76
1995-04-27,25.27,255.25,20.43,105.46,389.9,125.45,175.45,1.652,575.25,11.61,5.807,166.6,350.75,62.98
1995-04-28,25.79,255.25,20.38,105.56,388.5,127.1,174.15,1.662,580.0,11.56,5.783,167.3,351.0,63.39
1995-05-01,26.6,258.0,20.5,105.83,389.8,125.2,173.15,1.695,589.0,11.76,5.913,168.4,358.75,64.15
1995-05-02,26.46,259.5,20.09,103.83,390.6,124.6,171.85,1.666,589.0,11.58,5.96,168.8,361.0,63.65
1995-05-03,25.86,257.25,19.89,104.99,391.4,125.4,176.3,1.666,583.5,11.61,6.02,168.4,359.75,62.55
1995-05-04,25.72,257.5,20.29,103.51,393.0,122.45,175.6,1.653,579.5,11.81,6.16,168.0,356.25,63.59
1995-05-05,25.06,255.5,20.33,101.51,392.4,122.6,174.85,1.651,573.0,11.71,6.095,167.2,352.75,63.99
1995-05-08,24.69,257.75,20.29,99.51,390.9,123.1,174.0,1.66,568.25,11.78,6.05,167.2,356.75,64.21
1995-05-09,25.03,257.5,19.61,98.29,384.6,123.85,174.8,1.681,571.25,11.54,5.5,167.4,360.25,62.56
1995-05-10,25.02,258.25,19.75,100.29,384.5,124.25,174.8,1.678,573.75,11.56,5.445,168.3,359.75,63.29
1995-05-11,24.76,258.0,19.41,102.29,384.4,125.4,169.9,1.651,569.5,11.18,5.372,167.8,361.75,63.28
1995-05-12,24.74,258.0,19.52,104.29,384.3,124.95,168.1,1.662,569.5,11.47,5.352,167.9,368.0,63.67
1995-05-15,24.65,254.75,19.9,103.13,385.6,124.55,170.05,1.73,567.5,11.56,5.45,167.9,360.0,64.9
1995-05-16,24.86,256.5,20.08,101.13,385.5,125.0,167.45,1.717,573.25,11.88,5.44,169.2,360.5,66.3
1995-05-17,24.62,259.5,19.96,99.84,384.2,124.55,170.35,1.695,572.0,11.86,5.39,170.1,356.5,66.76
1995-05-18,25.62,261.25,20.0,101.84,384.2,124.95,166.4,1.743,589.5,11.85,5.392,173.9,359.75,66.5
1995-05-19,25.22,258.5,19.91,103.84,383.1,125.1,167.1,1.741,582.5,11.61,5.38,172.5,359.0,66.34
1995-05-22,26.08,262.25,19.84,105.84,382.8,124.25,162.35,1.823,602.0,11.6,5.3,179.5,366.0,66.46
1995-05-23,25.92,268.0,19.77,107.84,383.8,128.55,155.45,1.825,600.0,11.57,5.415,179.3,374.75,66.15
1995-05-24,26.29,267.25,19.41,109.84,384.7,130.95,151.05,1.81,602.0,11.77,5.527,178.0,374.5,64.93
1995-05-25,26.14,267.0,19.26,111.84,385.9,129.9,154.85,1.775,598.5,11.67,5.475,177.5,377.5,65.81
1995-05-26,26.87,271.0,18.69,113.84,386.6,131.1,152.1,1.769,605.75,11.4,5.46,178.4,385.5,64.07
1995-05-29,26.87,271.0,18.69,113.84,386.6,131.1,152.1,1.769,605.75,11.4,5.46,178.4,385.5,64.07
1995-05-30,26.1,266.75,18.78,112.75,387.9,130.5,154.05,1.718,579.75,11.22,5.295,168.9,373.5,60.51
1995-05-31,25.76,266.0,18.89,109.75,387.6,131.0,153.85,1.718,580.75,11.72,5.31,170.2,373.25,60.04
1995-06-01,26.06,269.25,18.9,112.35,388.3,133.5,158.65,1.735,588.25,11.61,5.365,173.3,382.25,59.78
1995-06-02,25.84,272.25,19.14,110.75,387.0,133.85,159.6,1.688,585.25,11.43,5.24,172.9,386.0,60.94
1995-06-05,25.97,268.75,19.25,107.75,387.7,134.05,158.4,1.731,583.5,11.52,5.335,172.1,385.75,61.79
1995-06-06,26.42,267.5,19.06,108.65,387.8,132.0,156.65,1.686,592.0,11.78,5.305,173.4,382.0,61.39
1995-06-07,26.65,265.5,19.13,111.65,389.5,133.7,150.15,1.693,591.5,11.58,5.362,172.4,373.5,61.77
1995-06-08,26.51,271.0,18.91,113.2,389.5,132.0,151.7,1.697,590.75,11.88,5.327,173.1,378.75,60.84
1995-06-09,26.18,269.5,18.8,111.85,391.1,134.7,152.3,1.704,585.5,11.93,5.437,172.0,375.25,60.8
1995-06-12,25.3,268.5,18.86,110.05,390.2,134.3,153.6,1.712,573.25,11.79,5.382,170.2,371.75,61.15
1995-06-13,25.77,271.25,18.91,111.7,389.4,132.85,146.45,1.708,579.75,11.46,5.357,171.2,379.0,60.93
1995-06-14,26.03,276.25,19.05,112.35,390.6,134.85,147.1,1.698,585.5,11.57,5.317,173.0,386.75,62.0
1995-06-15,26.29,278.0,18.94,113.35,393.9,138.95,154.25,1.673,592.25,11.6,5.445,173.9,384.5,61.87
1995-06-16,26.29,277.25,18.84,113.4,392.7,139.85,149.9,1.628,589.0,11.66,5.415,172.2,380.5,61.5
1995-06-19,27.29,283.75,18.03,112.0,394.2,139.5,148.45,1.62,607.75,11.65,5.5,176.4,392.5,60.28
1995-06-20,27.81,280.75,17.97,112.9,393.4,140.2,150.8,1.603,607.25,11.85,5.472,175.3,389.5,60.84
1995-06-21,27.87,282.0,17.46,112.9,392.5,140.8,150.15,1.565,605.75,12.02,5.435,174.1,397.75,58.73
1995-06-22,27.48,279.25,17.5,110.15,391.9,145.75,150.35,1.565,601.0,12.1,5.357,174.1,410.25,58.33
1995-06-23,27.48,279.0,17.49,89.09,392.1,142.3,144.95,1.532,601.75,12.62,5.355,174.1,423.0,56.98
1995-06-26,26.97,267.25,17.64,88.69,391.8,140.7,138.45,1.56,580.0,12.81,5.322,167.1,423.5,56.71
1995-06-27,26.71,268.25,17.77,87.73,391.0,135.3,138.1,1.569,588.25,11.18,5.367,171.4,425.5,55.35
1995-06-28,26.92,275.0,17.97,87.98,388.8,136.7,139.35,1.532,592.75,10.75,5.275,172.4,442.5,56.78
1995-06-29,26.47,273.0,17.56,87.49,389.4,137.15,136.9,1.52,587.0,10.75,5.335,171.8,450.0,55.59
1995-06-30,25.88,278.0,17.4,86.06,385.6,136.7,130.3,1.53,582.5,10.79,5.065,171.8,446.0,55.1
1995-07-03,26.46,282.25,17.4,86.06,385.6,136.7,130.3,1.53,591.5,10.79,5.065,174.4,435.25,55.1
1995-07-04,26.46,282.25,17.4,86.06,385.6,136.7,130.3,1.53,591.5,10.79,5.065,174.4,435.25,55.1
1995-07-05,27.31,283.5,17.18,83.75,385.2,136.15,126.15,1.472,602.0,10.79,5.08,173.8,427.0,54.37
1995-07-06,28.27,283.25,17.37,82.75,385.2,135.85,121.05,1.471,611.25,10.77,5.105,175.9,433.0,54.74
1995-07-07,28.0,282.0,17.14,80.36,386.7,136.8,129.85,1.5,608.0,10.25,5.19,175.2,417.0,53.8
1995-07-10,27.58,281.5,17.34,82.36,386.6,137.25,137.35,1.565,608.5,10.34,5.17,175.5,415.75,54.74
1995-07-11,27.69,283.25,17.32,81.22,386.7,139.1,136.45,1.527,611.5,10.38,5.175,176.1,426.5,54.19
1995-07-12,27.86,287.0,17.49,79.22,390.2,140.55,138.6,1.536,618.75,9.72,5.283,179.1,427.0,54.96
1995-07-13,27.64,286.25,17.25,77.85,389.4,139.35,139.2,1.487,617.25,9.87,5.235,179.0,432.25,54.39
1995-07-14,27.76,287.5,17.32,78.77,389.6,140.6,144.7,1.512,620.75,9.69,5.255,180.8,443.25,54.54
1995-07-17,28.28,294.0,16.97,78.0,389.9,138.75,139.3,1.494,643.75,9.72,5.375,189.1,459.5,53.98
1995-07-18,27.88,294.25,17.11,77.67,390.1,138.6,138.7,1.525,636.75,9.78,5.345,188.2,455.5,53.58
1995-07-19,27.03,290.5,17.06,75.67,388.4,134.75,139.55,1.495,618.5,10.05,5.213,184.6,454.75,52.69
1995-07-20,27.04,289.25,16.77,75.8,386.3,133.9,142.2,1.463,617.75,10.03,5.148,184.2,465.0,52.18
1995-07-21,27.51,293.5,16.79,76.03,386.6,131.7,148.3,1.438,631.0,10.25,5.21,187.8,477.75,52.05
1995-07-24,27.34,293.0,16.88,75.8,387.3,132.0,146.7,1.406,625.5,10.73,5.195,186.2,478.0,53.26
1995-07-25,27.44,296.0,16.93,76.63,386.2,132.55,147.35,1.432,630.25,10.61,5.17,188.0,461.25,52.37
1995-07-26,27.45,294.5,17.5,77.65,386.5,133.0,152.3,1.47,631.25,10.54,5.2,187.7,460.5,52.89
1995-07-27,27.03,290.5,17.49,76.95,383.2,133.1,147.6,1.49,622.5,10.55,5.14,185.7,457.5,53.69
1995-07-28,26.94,289.0,17.43,77.78,386.3,134.45,143.3,1.523,627.0,10.65,5.085,187.5,459.0,53.34
1995-07-31,26.64,281.75,17.56,75.79,385.4,135.3,145.7,1.614,606.0,10.5,5.052,180.9,464.25,53.9
1995-08-01,26.53,282.5,17.7,73.79,386.0,134.7,142.0,1.459,606.75,10.58,5.16,181.2,462.25,54.35
1995-08-02,26.27,279.0,17.78,73.08,386.0,139.7,144.4,1.422,599.75,10.56,5.115,178.4,442.25,54.44
1995-08-03,26.46,279.0,17.72,73.7,387.4,139.2,144.75,1.432,602.75,10.75,5.17,177.9,441.0,53.93
1995-08-04,26.09,276.25,17.71,74.37,386.4,139.05,144.15,1.456,590.0,10.7,5.167,174.5,434.5,53.97
1995-08-07,26.17,273.25,17.65,74.25,386.7,137.25,143.75,1.478,591.0,10.94,5.195,175.1,422.25,54.05
1995-08-08,26.34,278.25,17.79,73.75,387.5,136.1,145.25,1.471,597.25,10.79,5.248,176.8,438.5,54.38
1995-08-09,26.34,278.25,17.78,73.32,387.4,136.85,144.75,1.539,594.0,11.01,5.25,176.3,434.25,54.78
1995-08-10,26.26,277.25,17.89,73.07,387.1,136.4,147.0,1.504,594.75,11.04,5.275,176.4,429.75,55.65
1995-08-11,26.21,278.75,17.86,74.7,386.4,136.85,146.95,1.503,589.5,11.14,5.215,175.2,439.0,55.72
1995-08-14,26.35,281.25,17.48,76.7,387.0,136.5,146.25,1.55,594.25,11.15,5.352,177.1,437.5,55.23
1995-08-15,26.2,281.0,17.47,76.91,388.0,138.95,147.15,1.559,590.25,11.0,5.345,175.5,432.5,54.82
1995-08-16,26.18,281.25,17.55,76.75,385.0,141.75,147.35,1.527,590.0,10.99,5.37,175.0,423.75,53.92
1995-08-17,26.43,281.75,17.66,78.75,386.1,141.3,145.45,1.53,593.5,11.08,5.58,175.5,423.5,54.29
1995-08-18,26.46,281.75,17.87,80.75,387.0,142.05,144.65,1.577,595.5,11.45,5.697,176.3,428.5,54.23
1995-08-21,26.77,286.0,17.84,82.75,386.8,140.05,147.7,1.618,603.25,11.46,5.792,178.5,434.0,54.46
1995-08-22,26.31,286.0,17.88,85.35,385.2,139.85,151.65,1.567,598.25,11.34,5.655,178.3,435.25,54.57
1995-08-23,26.14,284.5,18.0,84.46,385.6,138.7,153.25,1.568,597.75,11.58,5.637,178.1,438.25,55.27
1995-08-24,26.13,286.25,17.86,81.46,385.1,139.55,151.85,1.575,597.0,11.39,5.607,178.1,441.0,55.86
1995-08-25,25.94,288.75,17.86,81.5,385.0,137.65,155.85,1.575,596.75,11.3,5.592,178.2,440.75,55.97
1995-08-28,26.09,291.5,17.82,82.7,385.0,135.3,155.8,1.656,615.25,10.71,5.688,183.0,454.75,52.75
1995-08-29,26.16,289.5,17.82,83.75,384.1,133.6,154.7,1.693,613.5,10.84,5.597,181.9,448.25,52.57
1995-08-30,26.12,290.25,17.79,85.59,383.1,131.15,148.2,1.702,616.5,10.63,5.315,182.9,447.25,53.0
1995-08-31,26.24,293.75,17.84,84.95,384.2,131.95,147.5,1.748,623.0,10.86,5.39,185.1,462.75,53.39
1995-09-01,26.22,294.25,18.04,86.33,382.1,132.05,151.15,1.74,626.0,10.97,5.35,186.9,461.5,54.25
1995-09-04,26.22,294.25,18.04,86.33,382.1,132.05,151.15,1.74,626.0,10.97,5.35,186.9,461.5,54.25
1995-09-05,25.75,293.0,18.58,84.42,381.5,131.5,149.1,1.701,624.25,10.81,5.26,187.2,465.5,56.23
1995-09-06,25.86,291.0,18.36,82.42,381.7,132.5,145.6,1.644,624.25,10.75,5.36,186.9,469.0,55.32
1995-09-07,25.91,293.25,18.27,80.42,384.2,131.75,139.75,1.626,628.0,10.76,5.453,188.1,482.5,54.55
1995-09-08,26.0,293.5,18.44,80.7,383.3,130.7,136.85,1.642,630.75,10.86,5.403,188.3,474.75,54.79
1995-09-11,25.96,292.75,18.47,80.95,384.3,132.35,133.8,1.655,627.5,10.79,5.53,187.3,473.75,54.92
1995-09-12,26.12,298.5,18.64,82.95,386.8,129.15,127.15,1.653,627.25,10.77,5.555,186.7,481.25,55.74
1995-09-13,25.86,299.5,18.54,84.95,385.9,127.9,127.0,1.72,622.5,10.81,5.445,185.3,475.0,55.34
1995-09-14,25.86,299.75,18.85,86.95,387.1,127.7,128.85,1.651,625.75,10.81,5.535,186.9,476.0,56.81
1995-09-15,26.0,303.75,18.92,89.95,386.5,128.75,129.75,1.658,631.75,10.75,5.495,189.4,475.75,56.63
1995-09-18,26.94,314.5,18.42,92.95,387.1,128.75,124.2,1.604,661.75,10.83,5.565,199.4,482.0,57.73
1995-09-19,26.65,310.75,18.43,89.95,386.7,130.55,119.05,1.589,655.5,10.96,5.522,197.0,487.75,57.23
1995-09-20,26.48,309.75,18.07,92.95,385.1,130.15,122.85,1.596,654.75,11.18,5.445,197.6,489.25,56.39
1995-09-21,26.67,311.0,17.56,95.95,385.5,132.6,127.7,1.614,663.75,11.22,5.517,199.7,491.0,54.87
1995-09-22,26.22,310.0,17.25,91.67,383.5,132.3,125.6,1.644,645.0,11.23,5.447,193.6,483.0,53.49
1995-09-25,26.25,306.5,17.47,89.12,383.7,131.45,116.1,1.764,640.0,11.04,5.457,191.7,479.75,54.01
1995-09-26,26.47,306.25,17.33,89.75,386.9,132.2,119.8,1.763,644.25,10.24,5.495,197.3,478.5,51.57
1995-09-27,26.58,307.5,17.57,88.6,386.5,129.8,115.2,1.726,642.5,10.39,5.475,196.2,480.5,52.11
1995-09-28,26.67,309.25,17.76,88.6,386.4,131.35,115.25,1.75,644.5,10.49,5.517,196.4,484.25,52.69
1995-09-29,26.9,311.75,17.54,89.59,386.5,131.65,117.25,1.75,646.0,10.18,5.485,196.4,492.25,52.18
1995-10-02,26.71,312.25,17.64,89.68,384.8,130.05,121.8,1.894,637.25,10.25,5.308,192.9,491.5,52.78
1995-10-03,26.68,310.5,17.56,90.56,385.2,129.45,121.8,1.809,636.0,10.39,5.305,192.9,486.5,51.93
1995-10-04,26.72,309.25,17.3,91.72,385.6,130.65,123.15,1.829,638.25,10.41,5.342,194.2,485.5,50.74
1995-10-05,26.76,309.75,16.87,88.72,385.1,127.75,123.5,1.795,637.0,10.55,5.307,193.6,479.0,48.89
1995-10-06,27.06,310.75,17.03,85.9,386.1,127.5,118.1,1.802,640.5,10.47,5.372,193.6,475.0,49.15
1995-10-09,27.11,313.25,17.31,88.14,387.8,126.7,114.05,1.845,642.75,10.53,5.45,194.4,481.75,50.24
1995-10-10,27.26,317.75,17.42,86.68,387.6,123.6,117.8,1.802,648.75,10.43,5.447,196.7,483.75,50.33
1995-10-11,27.35,322.75,17.29,84.68,387.4,125.05,119.9,1.761,659.25,10.69,5.442,199.9,480.5,50.48
1995-10-12,26.87,320.75,17.12,85.34,387.0,127.0,118.65,1.735,652.75,10.66,5.395,198.7,479.75,49.86
1995-10-13,26.61,325.25,17.41,84.86,386.4,126.6,122.05,1.75,653.25,10.62,5.397,200.6,485.75,50.29
1995-10-16,26.7,327.75,17.59,82.86,386.1,127.05,125.9,1.709,656.5,10.61,5.36,201.5,497.5,50.7
1995-10-17,26.49,325.0,17.38,81.7,386.0,123.85,122.2,1.721,652.5,10.52,5.355,200.3,491.5,50.33
1995-10-18,26.67,325.75,17.31,83.7,385.9,121.1,123.55,1.727,656.25,10.56,5.365,201.6,499.75,49.88
1995-10-19,26.83,332.0,17.07,82.98,383.8,124.85,125.45,1.723,664.0,10.68,5.332,204.7,507.5,49.36
1995-10-20,26.81,332.75,17.15,83.48,384.1,123.05,124.95,1.754,672.25,10.67,5.37,208.9,508.75,49.7
1995-10-23,26.58,330.0,17.21,83.75,384.2,125.35,126.35,1.823,667.75,10.68,5.362,207.4,503.0,49.81
1995-10-24,26.59,329.5,17.32,82.55,384.2,123.95,124.6,1.803,669.25,10.94,5.367,207.9,493.0,49.87
1995-10-25,26.59,328.5,17.32,83.55,384.5,124.4,121.75,1.81,669.25,10.81,5.45,207.3,498.75,49.69
1995-10-26,26.26,329.5,17.58,83.88,384.3,125.0,123.4,1.83,665.25,10.6,5.435,206.3,501.25,50.0
