"","TS","CS"
"1994-05-10",-0.000394764068615133,0.000394252799655549
"1994-05-11",6.58179946661843e-06,-3.6112669463304e-05
"1994-05-12",-5.99337226543332e-05,1.47602766829737e-05
"1994-05-13",0.00159502279256451,0.00238352792648251
"1994-05-16",0.0026821868630731,0.00388911457715333
"1994-05-17",0.000217579178967067,-0.000389340653506092
"1994-05-18",0.00184323781120471,0.000571004195256224
"1994-05-19",-0.000623186429316152,-0.000535830695180179
"1994-05-20",0.000132140601503259,-0.00159992424740931
"1994-05-23",0.00414008147688888,0.00243539601823549
"1994-05-24",-0.00247514186655603,-0.00105809480156608
"1994-05-25",-0.0019729411528929,-0.00264308868345264
"1994-05-26",-0.00193645618829071,-0.00163116239104818
"1994-05-27",0.000228576214532447,0.000199914617372135
"1994-05-30",0,0
"1994-05-31",0.00248082681059821,-0.000427157776975495
"1994-06-01",0.000113829287793298,-0.000818799822013141
"1994-06-02",-5.43186445977638e-05,0.000768301997689739
"1994-06-03",-0.00146084216321194,-0.000437310694973311
"1994-06-06",-0.00254658142900486,-0.00178657814576001
"1994-06-07",0.00139442982849694,0.00267720874099844
"1994-06-08",6.84053228249764e-05,3.32776651126981e-05
"1994-06-09",4.78008211234648e-05,-0.000625633920203721
"1994-06-10",0.000187440330578624,0.000260374884636551
"1994-06-13",0.00148479027594003,0.00122142720772154
"1994-06-14",-0.000699535635294651,-0.000924095874671338
"1994-06-15",0.000269833076025742,-0.00164062303965224
"1994-06-16",-0.000365873031687868,-0.00039978446505356
"1994-06-17",0.000404849845747009,0.000158512529544796
"1994-06-20",-0.00385872440560628,-0.000549176873883698
"1994-06-21",0.00087619154813772,0.002222238156988
"1994-06-22",-0.00191589292772081,-0.00122426151051777
"1994-06-23",-0.000360761943179383,3.26795352998062e-05
"1994-06-24",-0.000419380732700579,-0.000825977183801904
"1994-06-27",0.000752831565187364,0.00433131323122292
"1994-06-28",0.00119120779160389,-0.000304161214645506
"1994-06-29",0.000467508237859463,0.00248061131731123
"1994-06-30",-0.0005286664722591,-0.000870636305655105
"1994-07-01",-0.000503832353515358,-0.000681406264348238
"1994-07-04",0,0
"1994-07-05",-0.00101305809648965,-7.10425772563448e-05
"1994-07-06",0.000413938050066333,0.000173006741070377
"1994-07-07",0.000669001295109356,0.000905329634130336
"1994-07-08",-0.000230213736403101,-0.000216588328302503
"1994-07-11",0.000834374391347248,0.00253084249224158
"1994-07-12",0.000477799473322764,0.000929855295894611
"1994-07-13",-0.00010428126057398,0.000247038506674875
"1994-07-14",0.000309401094797527,0.000348946184812988
"1994-07-15",0.000254102576691508,0.00120652558280135
"1994-07-18",0.000565062925621214,0.00120265040479536
"1994-07-19",0.000636885138681482,0.000844119724901433
"1994-07-20",0.000277355289018577,0.000111063808759621
"1994-07-21",0.000498991994808413,0.000821156542832389
"1994-07-22",-0.000184988117857999,-0.00035453074247244
"1994-07-25",0.000363467420128222,0.000128692052265321
"1994-07-26",-0.000166906447054022,-0.000589325479801146
"1994-07-27",-0.000295008121148694,-0.000694997599748513
"1994-07-28",-0.000288704847559253,-0.000974951144034527
"1994-07-29",-0.000889119705888557,-0.00162080529785286
"1994-08-01",-9.79113411611452e-05,-0.000525601258906435
"1994-08-02",0.000721336048434471,0.000872749456742647
"1994-08-03",0.000599190739784661,1.69473834745129e-05
"1994-08-04",0.000286635258947609,0.00110393772373552
"1994-08-05",0.000572123771228976,0.00187453484758693
"1994-08-08",-8.8098152005714e-05,0.000492725856622707
"1994-08-09",-0.000398724152819833,-0.00146439951141998
"1994-08-10",-0.000291476553043751,0.000228389828707877
"1994-08-11",0.00124568062901958,0.00209714776841099
"1994-08-12",-0.00068437498369586,0.000101984859463976
"1994-08-15",-0.000861015888815405,-0.000842175992058069
"1994-08-16",0.000222969945547835,-0.000274374768413043
"1994-08-17",-0.001255369820679,-0.00191220012094988
"1994-08-18",0.00179789137694538,0.00184048702337514
"1994-08-19",0.00158072649001407,0.00136153998288996
"1994-08-22",0.00126858326606213,0.00233613373639212
"1994-08-23",0.000731954147127105,0.000919585988130062
"1994-08-24",0.000938665083255506,0.000924702281590049
"1994-08-25",0.000829137670778478,0.00107029821141623
"1994-08-26",0.000832678960448738,0.0011517158431274
"1994-08-29",-2.36121310825203e-05,0.000190817694272359
"1994-08-30",0.000576918560996383,0.000608637378053005
"1994-08-31",0.000441608754318998,0.000824762691262086
"1994-09-01",0.000392582556821938,0.000301044162601149
"1994-09-02",0.000572499479700298,0.000636909281860356
"1994-09-05",0,0
"1994-09-06",-0.000212373697603548,-0.000514644434743827
"1994-09-07",0.00171726657601691,0.00135376219564219
"1994-09-08",-0.000360016334894107,-0.000143077992763764
"1994-09-09",0.000838221757869959,0.00126797816579463
"1994-09-12",0.00039665150675219,0.000610496934201726
"1994-09-13",0.00126278027104232,0.00213695652703968
"1994-09-14",0.000216870454354782,0.00120855351176947
"1994-09-15",-0.00147925125821939,-0.000857112121195565
"1994-09-16",-0.000467602412041522,-0.000138218391080571
"1994-09-19",-0.000624755818544414,-0.00138041444477005
"1994-09-20",0.00184541345735719,0.00235145343238017
"1994-09-21",-0.00116073736610554,-0.000349299058712516
"1994-09-22",0.00064161987991029,0.000668899444695423
"1994-09-23",0.00097741548561262,0.00137822456271603
"1994-09-26",0.000218970294045,0.000941183865507902
"1994-09-27",-0.000213129460666972,7.52572971990258e-05
"1994-09-28",-0.00159452249435456,-0.00126571128982898
"1994-09-29",-0.000617476256044365,-0.00137429913992529
"1994-09-30",-0.000609888759094443,-0.000221478568637231
