"","TS","CS"
"1993-08-06",0.000776850115888362,0.000638926379779241
"1993-08-09",0.00137444115330914,-0.00104299908909086
"1993-08-10",-0.000202349626450562,0.000785512023854606
"1993-08-11",-0.00103128406404351,-0.0015061271467575
"1993-08-12",0.00170617355515684,0.000286046856792362
"1993-08-13",9.48931734463388e-05,0.000624310714666261
"1993-08-16",0.000846856248457233,0.000545383400855078
"1993-08-17",-0.000892063745798204,-0.000452581395154314
"1993-08-18",0.00114283560974455,0.00169574427327394
"1993-08-19",-0.000600015263067835,-0.000308306672968632
"1993-08-20",-1.18459324035653e-05,0.000172481489619458
"1993-08-23",-0.00124389846098125,-0.0014385340330761
"1993-08-24",0.000712612336905514,0.000874774556024881
"1993-08-25",0.000748227220951833,0.000775271901366306
"1993-08-26",0.000444795395043216,0.000116740375192046
"1993-08-27",-0.000760664968030403,-0.00142138087553216
"1993-08-30",-0.000247296304794792,6.92047860017801e-05
"1993-08-31",0.00155499872069893,0.00160185570806722
"1993-09-01",0.000523147992388423,-0.000397511514854778
"1993-09-02",-0.00128745495646569,0.000968387163872239
"1993-09-03",-0.000261968670940153,-1.74202423169143e-05
"1993-09-06",0,0
"1993-09-07",0.00028546508047645,0.0016320899595993
"1993-09-08",-0.000389458662133039,-0.000403577725157921
"1993-09-09",-0.00031573045737621,-6.38959189944963e-05
"1993-09-10",-8.22205369694224e-05,0.00051328972926754
"1993-09-13",-0.0017701369914332,-0.00165279662136258
"1993-09-14",0.000451142386112012,0.000463248089498781
"1993-09-15",-1.83117602097954e-05,0.00090576966013236
"1993-09-16",0.000875569734026379,0.000505377249011701
"1993-09-17",-0.000976063112895119,-0.00153901325134782
"1993-09-20",0.000231927289655904,-0.000439305648552747
"1993-09-21",0.00173634842813447,0.00243047594025028
"1993-09-22",-0.00156591238920707,-0.00139855789755741
"1993-09-23",-0.000236357800905282,-0.000701870739232665
"1993-09-24",5.95040233595793e-06,0.000155227441408474
"1993-09-27",0.000486777428108349,-0.000246110041450346
"1993-09-28",0.000857496342281421,0.000454227697649542
"1993-09-29",0.000150128480396196,-0.000434449095941131
"1993-09-30",-8.53542009778816e-05,0.000260667867883663
"1993-10-01",0.000520832128269295,0.00143148475094159
"1993-10-04",0.000891361878462022,0.00115919096834781
"1993-10-05",0.000271486743157693,0.000261737617174192
"1993-10-06",0.00106915474854192,0.00119754437676685
"1993-10-07",0.000818090366270472,0.000431263300953342
"1993-10-08",3.70763718097219e-05,-0.0010494393828165
"1993-10-11",0.000116651497930289,-0.00138903393444292
"1993-10-12",0.00115173435213868,0.00221680255708635
"1993-10-13",-0.000739188161323451,-0.000420065135987529
"1993-10-14",-0.000327459680651465,0.000249082727297163
"1993-10-15",9.64912419296139e-05,0.000410149723117338
"1993-10-18",0.000507180008890007,0.00237909388611874
"1993-10-19",-0.000134294772993609,-0.000557512053023585
"1993-10-20",0.000718620205038511,0.000622658776566734
"1993-10-21",0.00118808182409135,0.000377380194204144
"1993-10-22",-0.000738803182682939,0.000863489476486404
"1993-10-25",-8.29397333290468e-05,0.00135544590377583
"1993-10-26",-0.000616403250510587,-0.000468354185972443
"1993-10-27",0.000357612907339912,-0.000220089411038922
"1993-10-28",-0.000887809741275792,0.000392165855528933
"1993-10-29",0.000761539122816171,0.000767120149356719
"1993-11-01",-0.00110138165961141,-0.00223597936603103
"1993-11-02",0.000974672940629699,0.0015216819663836
"1993-11-03",0.000503201566937085,0.000240074717462594
"1993-11-04",0.000802759235859699,0.000859154815043629
"1993-11-05",0.00079770358095499,0.00255343438119985
"1993-11-08",-0.000741233816603885,0.000598943298459048
"1993-11-09",-0.000117001901382973,0.000282516281001998
"1993-11-10",0.00225763149342699,0.000714739396802297
"1993-11-11",0.00112147442694782,0.00165232940049428
"1993-11-12",-0.000668272430317634,-0.00368643083069486
"1993-11-15",0.000364577142822736,-0.000454872048200172
"1993-11-16",-0.000306765112980821,-0.000508996317179568
"1993-11-17",-0.00104334111734863,-0.00176909009522519
"1993-11-18",-0.000377210093980492,0.00180019587177291
"1993-11-19",-0.000227643641844941,-0.00100107751408739
"1993-11-22",0.000844276226977064,0.000361673501920189
"1993-11-23",-0.000434872165551791,0.000846366504446764
"1993-11-24",-0.00071457118155164,0.000152139573006971
"1993-11-25",0,0
"1993-11-26",-0.000745632331399413,-0.000867319140113134
"1993-11-29",0.000601283238994762,0.00287598537302264
"1993-11-30",0.00148746908371213,0.000388395767706872
"1993-12-01",0.000447881898244446,0.00186797211033554
"1993-12-02",-0.00292052682691198,-0.00254697373961232
"1993-12-03",-0.000787548992674766,-8.44169341422078e-05
"1993-12-06",-0.00145850404322731,-0.00049676638268288
"1993-12-07",-0.000745900549431615,-0.0003871353036524
"1993-12-08",-0.000466749012703614,-0.00112042680807999
"1993-12-09",0.000759187627295086,-0.000369956890247351
"1993-12-10",0.000934539181876398,0.00194190674634563
"1993-12-13",1.38780185606808e-05,-0.00150386140061388
"1993-12-14",-0.00159135942507503,0.000536029374073326
"1993-12-15",-8.82516849502958e-05,0.000150392918185582
"1993-12-16",-0.000465154126845823,-0.000256957758438044
"1993-12-17",-0.00153391006833981,-0.00087370725467213
"1993-12-20",-0.00106083043381295,-0.00174813389412331
"1993-12-21",-0.000509821291277098,-0.000697638481081126
"1993-12-22",-0.000510195260499737,0.00045171975788687
"1993-12-23",-0.0011885652127238,-0.000821925368507384
"1993-12-24",0,0
"1993-12-27",-0.00282108090718149,-0.00195223999975555
"1993-12-28",0.000368490289561581,0.000541412559954806
"1993-12-29",-0.000374891991547072,0.000419414759896142
