"","TS","CS"
"1998-07-08",-0.000356768194519076,0.00227693984495708
"1998-07-09",0.000101429643109594,-0.000394754809854651
"1998-07-10",0.000384325696376716,-0.000228094237230097
"1998-07-13",0.000227451035190524,-0.00211681065395632
"1998-07-14",-0.00113490318926804,-0.00428357855863728
"1998-07-15",-0.00119024867655621,-0.00231458484421943
"1998-07-16",-0.000941496447031435,0.00134417975131426
"1998-07-17",-0.00145878218559548,-0.0020956914962773
"1998-07-20",-6.43614554459119e-05,-0.00295272847669847
"1998-07-21",0.00127264888180103,0.00158925330541605
"1998-07-22",0.0014890224633651,0.00183851773210886
"1998-07-23",0.00250811045595673,0.0011809782146183
"1998-07-24",0.000661178863744158,0.000163841087281962
"1998-07-27",0.00197296145654788,0.00260543558627165
"1998-07-28",0.000536596151471514,-0.00266722946341453
"1998-07-29",0.000499992339349386,-0.000485130416277613
"1998-07-30",-0.00113681661947417,0.000274624725650526
"1998-07-31",9.55693111607455e-05,-4.00998713166207e-05
"1998-08-03",0.00230065367925944,0.000900871386546259
"1998-08-04",0.000634357969339718,0.000531056983933316
"1998-08-05",0.0014699455532388,-0.000870204519208646
"1998-08-06",0.0014206358245123,-0.00100451672826517
"1998-08-07",0.00159235182496012,-3.13654102579744e-05
"1998-08-10",0.00226462514030503,-0.00208019796291534
"1998-08-11",0.0032041376144469,-0.00116736308837854
"1998-08-12",0.000838431847363821,-0.000389332898264654
"1998-08-13",0.000639259584401114,-0.00164513419062857
"1998-08-14",-0.00123696910847116,0.00405593915297601
"1998-08-17",0.00136538184823329,-9.097663282165e-05
"1998-08-18",0.000432456835641884,-0.001363096121509
"1998-08-19",-0.00146114605626362,-0.00274414274198765
"1998-08-20",-7.50141717504088e-05,-4.40735490085841e-05
"1998-08-21",0.00225962829556383,0.000391244534414908
"1998-08-24",0.00135337692254276,0.000986548650209596
"1998-08-25",-6.7376570555037e-05,-0.000553751116454913
"1998-08-26",0.00228021296490129,-0.00319947706989806
"1998-08-27",0.00333673779590125,-0.00361948222953199
"1998-08-28",0.000780403501563509,0.00235283165084656
"1998-08-31",0.00099989947743894,-7.75443165949714e-05
"1998-09-01",0.00115228081608589,0.00213163227589399
"1998-09-02",-0.00251407537750303,0.000247558075891014
"1998-09-03",0.000836977571190969,-0.000677074441194088
"1998-09-04",-0.00192636088440544,-0.00344971074353035
"1998-09-07",-0.00415841790745976,-0.000514234183857183
"1998-09-08",0.000446664912193304,-0.000427211764054493
"1998-09-09",0.000607196710960569,0.00101672498119187
"1998-09-10",0.00171603122082725,-0.00327346206384851
"1998-09-11",2.58514209781161e-05,0.0022006534584178
"1998-09-14",-0.00154844100735105,-2.35027949222881e-05
"1998-09-15",-0.00204597687475925,0.00457508228359989
"1998-09-16",-0.000393431425480826,-0.000252585433112327
"1998-09-17",0.00101035412823824,0.00165515801328644
"1998-09-18",0.000181588646750006,0.000700294721292385
"1998-09-21",0.000859371981144293,0.00174931142176373
"1998-09-22",-0.000930479558976482,-0.00174915604476579
"1998-09-23",-0.00139496376580593,0.00108705162204766
"1998-09-24",-0.000694439280546412,-0.00138623810823566
"1998-09-25",0.000198769251398768,-0.000174176599493263
"1998-09-28",-0.000180698725257587,0.000149661499311731
"1998-09-29",0.000572894900856327,0.000941128736479577
"1998-09-30",0.000909112490355752,0.00085614972255701
"1998-10-01",0.00175671197392036,9.95649242865732e-05
"1998-10-02",-5.12090201443395e-05,-0.000953521651375462
"1998-10-05",0.000855112592607531,-0.000270827471775481
"1998-10-06",-0.000752124635615472,0.00111870154339753
"1998-10-07",-0.0006744100212796,0.00132960717084587
"1998-10-08",0.000177917689085631,-0.00119990844842356
"1998-10-09",-0.00137369529060338,-0.000538812426597732
"1998-10-12",-0.00127735653793041,-0.000400011368335712
"1998-10-13",0.00011936737958559,0.00117588149370749
"1998-10-14",-0.000476903616173008,0.00223364346771903
"1998-10-15",-0.00153134312407407,0.000376581198080625
"1998-10-16",-0.000709903088491576,-0.000186570021068009
"1998-10-19",-0.000326108418365584,-0.000257505400608007
"1998-10-20",-0.000464133174371611,-0.00118937703915333
"1998-10-21",-0.00060001991292788,0.0011850371453289
"1998-10-22",8.69902907127017e-05,-0.000662783871641846
"1998-10-23",0.00017540498984197,0.000512246379199364
"1998-10-26",-9.91213023485045e-05,0.000625320509127865
"1998-10-27",0.000343502558406513,0.000238285531465213
"1998-10-28",0.000693642938620261,-0.00104186746118463
"1998-10-29",-0.000259085610206297,0.000862032473211773
"1998-10-30",-0.00109387104290491,-0.000733817687639614
"1998-11-02",-0.000993002173353403,-0.000459870502378737
"1998-11-03",-0.000729708664290843,7.9883862763041e-05
"1998-11-04",-0.000535638273053113,-0.000246733952672238
"1998-11-05",-0.000466696619357099,0.000395598778458021
"1998-11-06",-0.000351565042898723,-0.000310636178880858
"1998-11-09",-0.000444695308521955,-0.000616139141222587
"1998-11-10",0.00100513542129278,-0.000597286763344589
"1998-11-11",0.000358097722402238,-0.000616115672328219
"1998-11-12",0.000436574565291867,-0.000301610350382559
"1998-11-13",-0.00026329469881082,0.000544485680406601
"1998-11-16",-0.000666695806409553,0.000796050253786752
"1998-11-17",-0.000625453168785422,0.000298217181343733
"1998-11-18",-0.000281707400761321,0.000459784557397392
"1998-11-19",-0.000322849148803254,-0.000139511818203777
"1998-11-20",-0.000444545993647987,-0.000435911098717413
"1998-11-23",-0.000510850624073636,-0.00155209908610115
"1998-11-24",-0.000214021009728824,-0.000184694129124618
"1998-11-25",0.00034955047522414,0.000126105596274409
"1998-11-26",0.000142958030020405,9.05806534701791e-05
