"","TS","CS"
"1994-05-11",0.000661301772398487,-0.000469699408244554
"1994-05-12",-2.9327305948079e-05,1.47602766829737e-05
"1994-05-13",0.00159502279256451,0.00238352792648251
"1994-05-16",0.00277408358476712,0.00388911457715333
"1994-05-17",6.0947884785278e-05,-0.000389340653506092
"1994-05-18",0.00102255806695716,0.000781267090378479
"1994-05-19",-0.000614738544686978,-0.000535830695180179
"1994-05-20",0.000104147368528757,-0.00159992424740931
"1994-05-23",0.00414008147688888,0.00243539601823549
"1994-05-24",-0.00284835103019783,-0.00105809480156608
"1994-05-25",-0.00226472279486266,-0.00269310244872875
"1994-05-26",-0.00197001133804021,-0.00163116239104818
"1994-05-27",0.000239453684089557,0.000199914617372135
"1994-05-30",0,0
"1994-05-31",0.00248082681059821,-0.000427157776975495
"1994-06-01",-4.90796945688437e-05,-0.000930997550108485
"1994-06-02",-5.43186445977638e-05,0.000768301997689739
"1994-06-03",-0.00146084216321194,-0.000437310694973311
"1994-06-06",-0.00254658142900486,-0.00178657814576001
"1994-06-07",0.00141289251698302,0.00267720874099844
"1994-06-08",0.000241788411284388,-8.2364477848799e-05
"1994-06-09",4.78008211234648e-05,-0.000625633920203721
"1994-06-10",0.000233614815854345,0.000260374884636551
"1994-06-13",0.00146954535288223,0.00122142720772154
"1994-06-14",-0.000697981992932056,-0.000924095874671338
"1994-06-15",-0.000221425581551921,-0.00194588479266174
"1994-06-16",-0.000365873031687868,-0.00039978446505356
"1994-06-17",0.000404849845747009,0.000158512529544796
"1994-06-20",-0.00381584691485703,-0.000549176873883698
"1994-06-21",0.00088636815500301,0.002222238156988
"1994-06-22",-0.00180051879027097,-0.000665238150389196
"1994-06-23",-0.000360761943179383,3.26795352998062e-05
"1994-06-24",-0.000419380732700579,-0.000825977183801904
"1994-06-27",0.000752831565187364,0.00433131323122292
"1994-06-28",0.00137698076991159,-0.000304161214645506
"1994-06-29",-0.000125087669358628,0.00318737996855699
"1994-06-30",-0.0005286664722591,-0.000870636305655105
"1994-07-01",-0.000503832353515358,-0.000681406264348238
"1994-07-04",0,0
"1994-07-05",-0.00101305809648965,-7.10425772563448e-05
"1994-07-06",0.000454713149936769,8.77707380352735e-05
"1994-07-07",0.000661645013711289,0.000905329634130336
"1994-07-08",-0.000230213736403101,-0.000216588328302503
"1994-07-11",0.000834374391347248,0.00253084249224158
"1994-07-12",0.000523833730673494,0.000929855295894611
"1994-07-13",-5.97473431500982e-05,0.000136082383279028
"1994-07-14",0.000309401094797527,0.000348946184812988
"1994-07-15",0.000251265555944303,0.00120652558280135
"1994-07-18",0.000565062925621214,0.00120265040479536
"1994-07-19",0.00062963214961534,0.000844119724901433
"1994-07-20",0.000435263838363094,-0.00016183813116094
"1994-07-21",0.000498991994808413,0.000821156542832389
"1994-07-22",-0.000196678045659633,-0.00035453074247244
"1994-07-25",0.000363467420128222,0.000128692052265321
"1994-07-26",-0.000165122132851325,-0.000589325479801146
"1994-07-27",5.62658859994522e-05,-0.000656903271789908
"1994-07-28",-0.000288704847559253,-0.000974951144034527
"1994-07-29",-0.000889119705888557,-0.00162080529785286
"1994-08-01",-9.79113411611452e-05,-0.000525601258906435
"1994-08-02",0.00071545035656948,0.000872749456742647
"1994-08-03",0.000403614112423733,-0.000183149994570679
"1994-08-04",0.000286635258947609,0.00110393772373552
"1994-08-05",0.000572123771228976,0.00187453484758693
"1994-08-08",-8.8098152005714e-05,0.000492725856622707
"1994-08-09",-0.00038750034103634,-0.00146439951141998
"1994-08-10",-0.000401793901816885,0.00011823239961584
"1994-08-11",0.00124568062901958,0.00209714776841099
"1994-08-12",-0.00068437498369586,0.000101984859463976
"1994-08-15",-0.000887723260852536,-0.000842175992058069
"1994-08-16",0.000209067314226308,-0.000274374768413043
"1994-08-17",-0.000352537825548875,-0.0011455781555455
"1994-08-18",0.00179789137694538,0.00184048702337514
"1994-08-19",0.00158072649001407,0.00136153998288996
"1994-08-22",0.00134686756917689,0.00233613373639212
"1994-08-23",0.000740740365007543,0.000919585988130062
"1994-08-24",0.00106063812936381,0.000852824777762241
"1994-08-25",0.000829137670778478,0.00107029821141623
"1994-08-26",0.000832678960448738,0.0011517158431274
"1994-08-29",-3.73414190127422e-05,0.000190817694272359
"1994-08-30",0.000576918560996383,0.000608637378053005
"1994-08-31",0.000408953433522453,0.000589053470181842
"1994-09-01",0.000392582556821938,0.000301044162601149
"1994-09-02",0.000554653477983448,0.000636909281860356
"1994-09-05",0,0
"1994-09-06",-0.000212373697603548,-0.000514644434743827
"1994-09-07",0.00159307619869931,0.00142761623935245
"1994-09-08",-0.000360016334894107,-0.000143077992763764
"1994-09-09",0.000838221757869959,0.00126797816579463
"1994-09-12",0.000362077110164849,0.000610496934201726
"1994-09-13",0.00126278027104232,0.00213695652703968
"1994-09-14",6.98887530146047e-05,0.00116201973893332
"1994-09-15",-0.00147925125821939,-0.000857112121195565
"1994-09-16",-0.000467602412041522,-0.000138218391080571
"1994-09-19",-0.000624755818544414,-0.00138041444477005
"1994-09-20",0.00181269147410934,0.00235145343238017
"1994-09-21",-0.00113237618795107,-0.000584270517394114
"1994-09-22",0.00064161987991029,0.000668899444695423
"1994-09-23",0.00097741548561262,0.00137822456271603
"1994-09-26",0.000218970294045,0.000941183865507902
"1994-09-27",-0.000176933653748631,7.52572971990258e-05
"1994-09-28",-0.00137586077943301,-0.00129258009960771
"1994-09-29",-0.000598137492259114,-0.00137429913992529
"1994-09-30",-0.000599314304078517,-0.000221478568637231
"1994-10-03",0.000740588044986599,0.000459959585759717
